Code commune - Code de la zone;Code commune - Libellé de la zone;Classe de véhicule;Catégorie de véhicule;Carburant;Vignette Crit'Air;Parc de véhicule au 1er janvier 2011 (en nombre de véhicules);Parc de véhicule au 1er janvier 2012 (en nombre de véhicules);Parc de véhicule au 1er janvier 2013 (en nombre de véhicules);Parc de véhicule au 1er janvier 2014 (en nombre de véhicules);Parc de véhicule au 1er janvier 2015 (en nombre de véhicules);Parc de véhicule au 1er janvier 2016 (en nombre de véhicules);Parc de véhicule au 1er janvier 2017 (en nombre de véhicules);Parc de véhicule au 1er janvier 2018 (en nombre de véhicules);Parc de véhicule au 1er janvier 2019 (en nombre de véhicules);Parc de véhicule au 1er janvier 2020 (en nombre de véhicules);Parc de véhicule au 1er janvier 2021 (en nombre de véhicules);Parc de véhicule au 1er janvier 2022 (en nombre de véhicules)
69100;Irigny;vp;Véhicule particulier;Diesel;Crit'Air 2;109;340;562;759;955;1083;1213;1314;1429;1465;1522;1532
69100;Irigny;vp;Véhicule particulier;Diesel;Crit'Air 3;1146;1180;1164;1120;1115;1076;1059;1021;974;911;832;759
69100;Irigny;vp;Véhicule particulier;Diesel;Crit'Air 4;766;744;718;714;695;677;610;574;511;409;347;295
69100;Irigny;vp;Véhicule particulier;Diesel;Crit'Air 5;288;269;238;212;184;159;148;130;106;84;61;52
69100;Irigny;vp;Véhicule particulier;Diesel;Non classé;427;364;302;255;213;169;140;107;65;33;29;22
69100;Irigny;vp;Véhicule particulier;Diesel HNR;Crit'Air 2;0;0;1;3;7;14;13;13;13;13;13;17
69100;Irigny;vp;Véhicule particulier;Hybride rechargeable;Crit'Air 1;0;2;1;2;1;2;4;10;13;17;38;54
69100;Irigny;vp;Véhicule particulier;Electrique et hydrogène;Crit'Air E;0;0;0;3;4;9;12;15;14;26;41;70
69100;Irigny;vp;Véhicule particulier;Essence;Crit'Air 1;54;141;225;324;426;551;700;878;1078;1333;1504;1691
69100;Irigny;vp;Véhicule particulier;Essence;Crit'Air 2;514;513;502;522;525;511;484;463;462;459;453;451
69100;Irigny;vp;Véhicule particulier;Essence;Crit'Air 3;880;868;811;745;721;684;622;589;540;483;413;376
69100;Irigny;vp;Véhicule particulier;Essence;Non classé;663;556;454;384;329;269;236;197;160;120;105;106
69100;Irigny;vp;Véhicule particulier;Essence HNR;Crit'Air 1;0;0;1;4;9;17;20;30;39;57;81;129
69100;Irigny;vp;Véhicule particulier;Essence HNR;Crit'Air 2;1;1;0;0;0;0;1;2;2;1;2;2
69100;Irigny;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 1;29;33;31;25;25;24;22;23;27;20;18;24
69100;Irigny;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 3;1;0;0;0;0;0;0;0;0;0;0;0
69100;Irigny;vp;Véhicule particulier;Gaz et inconnu;Non classé;63;3;1;0;0;0;1;2;2;1;1;1
69102;Joux;vp;Véhicule particulier;Diesel;Crit'Air 2;6;16;27;50;66;81;83;101;138;152;162;171
69102;Joux;vp;Véhicule particulier;Diesel;Crit'Air 3;91;103;104;107;119;123;125;115;112;108;87;85
69102;Joux;vp;Véhicule particulier;Diesel;Crit'Air 4;64;53;58;52;60;57;65;70;52;48;43;35
69102;Joux;vp;Véhicule particulier;Diesel;Crit'Air 5;30;22;19;17;19;19;17;17;11;8;6;2
69102;Joux;vp;Véhicule particulier;Diesel;Non classé;43;33;41;39;33;26;21;15;8;1;0;2
69102;Joux;vp;Véhicule particulier;Diesel HNR;Crit'Air 2;0;0;0;0;0;0;0;0;0;0;1;1
69102;Joux;vp;Véhicule particulier;Hybride rechargeable;Crit'Air 1;0;0;0;0;0;1;1;2;2;2;1;0
69102;Joux;vp;Véhicule particulier;Electrique et hydrogène;Crit'Air E;0;0;0;0;0;0;0;1;1;1;4;5
69102;Joux;vp;Véhicule particulier;Essence;Crit'Air 1;1;4;9;11;14;17;30;42;60;71;85;102
69102;Joux;vp;Véhicule particulier;Essence;Crit'Air 2;28;31;35;40;43;41;37;41;42;42;38;34
69102;Joux;vp;Véhicule particulier;Essence;Crit'Air 3;57;57;61;59;55;56;52;57;53;43;42;43
69102;Joux;vp;Véhicule particulier;Essence;Non classé;69;64;50;43;36;34;34;30;27;19;11;9
69102;Joux;vp;Véhicule particulier;Essence HNR;Crit'Air 1;0;0;1;1;1;1;1;2;2;3;5;10
69102;Joux;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 1;1;3;3;3;3;3;3;2;4;3;5;7
69102;Joux;vp;Véhicule particulier;Gaz et inconnu;Non classé;3;0;0;0;0;0;0;0;0;0;0;0
69103;Juliénas;vp;Véhicule particulier;Diesel;Crit'Air 2;4;22;41;68;92;109;131;150;165;175;184;178
69103;Juliénas;vp;Véhicule particulier;Diesel;Crit'Air 3;113;121;133;127;128;117;119;123;112;126;120;111
69103;Juliénas;vp;Véhicule particulier;Diesel;Crit'Air 4;92;87;86;89;75;72;75;71;60;57;51;52
69103;Juliénas;vp;Véhicule particulier;Diesel;Crit'Air 5;35;28;28;27;24;23;18;17;11;9;8;10
69103;Juliénas;vp;Véhicule particulier;Diesel;Non classé;67;73;64;49;43;41;30;29;23;9;7;5
69103;Juliénas;vp;Véhicule particulier;Diesel HNR;Crit'Air 2;0;0;0;1;1;1;1;0;0;1;1;3
69103;Juliénas;vp;Véhicule particulier;Hybride rechargeable;Crit'Air 1;0;0;0;1;1;2;2;1;1;1;2;2
69103;Juliénas;vp;Véhicule particulier;Electrique et hydrogène;Crit'Air E;0;0;0;0;0;0;1;1;1;1;2;6
69103;Juliénas;vp;Véhicule particulier;Essence;Crit'Air 1;1;9;13;19;22;42;56;64;85;104;117;130
69103;Juliénas;vp;Véhicule particulier;Essence;Crit'Air 2;35;38;36;37;39;39;35;44;50;57;50;48
69103;Juliénas;vp;Véhicule particulier;Essence;Crit'Air 3;80;81;76;82;78;72;79;72;55;49;47;47
69103;Juliénas;vp;Véhicule particulier;Essence;Non classé;101;86;86;74;66;54;46;43;30;24;22;17
69103;Juliénas;vp;Véhicule particulier;Essence HNR;Crit'Air 1;0;0;0;2;2;2;2;2;3;3;2;5
69103;Juliénas;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 1;2;3;3;3;3;3;3;4;4;5;4;4
69103;Juliénas;vp;Véhicule particulier;Gaz et inconnu;Non classé;8;0;0;0;0;0;1;0;0;0;0;0
69104;Jullié;vp;Véhicule particulier;Diesel;Crit'Air 2;2;10;21;26;36;36;42;50;61;78;86;89
69104;Jullié;vp;Véhicule particulier;Diesel;Crit'Air 3;45;51;53;56;51;45;52;48;53;57;51;48
69104;Jullié;vp;Véhicule particulier;Diesel;Crit'Air 4;39;39;38;39;41;44;48;47;49;42;39;37
69104;Jullié;vp;Véhicule particulier;Diesel;Crit'Air 5;18;19;19;26;23;22;18;14;13;13;11;10
69104;Jullié;vp;Véhicule particulier;Diesel;Non classé;40;37;33;28;26;25;20;13;8;5;3;3
69104;Jullié;vp;Véhicule particulier;Diesel HNR;Crit'Air 2;0;0;0;0;0;0;0;0;0;0;1;0
69104;Jullié;vp;Véhicule particulier;Hybride rechargeable;Crit'Air 1;1;1;1;1;1;1;1;1;1;1;1;1
69104;Jullié;vp;Véhicule particulier;Electrique et hydrogène;Crit'Air E;0;0;0;0;0;0;0;0;0;0;1;3
69104;Jullié;vp;Véhicule particulier;Essence;Crit'Air 1;0;4;5;8;13;17;22;23;27;38;40;42
69104;Jullié;vp;Véhicule particulier;Essence;Crit'Air 2;11;12;12;14;10;10;9;13;13;16;19;19
69104;Jullié;vp;Véhicule particulier;Essence;Crit'Air 3;28;30;27;24;25;25;29;27;24;26;19;18
69104;Jullié;vp;Véhicule particulier;Essence;Non classé;54;47;44;39;38;35;31;29;16;16;13;8
69104;Jullié;vp;Véhicule particulier;Essence HNR;Crit'Air 1;0;0;0;0;0;0;0;0;1;3;3;4
69104;Jullié;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 1;2;2;2;1;2;1;1;1;1;1;1;1
69104;Jullié;vp;Véhicule particulier;Gaz et inconnu;Non classé;5;0;0;0;0;0;0;0;0;0;0;1
69105;Lacenas;vp;Véhicule particulier;Diesel;Crit'Air 2;12;37;66;102;127;157;172;179;199;210;223;231
69105;Lacenas;vp;Véhicule particulier;Diesel;Crit'Air 3;124;134;137;130;137;135;129;129;131;121;115;100
69105;Lacenas;vp;Véhicule particulier;Diesel;Crit'Air 4;84;82;82;69;72;62;57;56;56;42;29;26
69105;Lacenas;vp;Véhicule particulier;Diesel;Crit'Air 5;33;31;25;20;16;16;13;14;14;15;11;8
69105;Lacenas;vp;Véhicule particulier;Diesel;Non classé;53;50;44;32;29;26;25;19;11;4;4;4
69105;Lacenas;vp;Véhicule particulier;Diesel HNR;Crit'Air 2;0;0;0;1;1;1;0;0;0;2;3;4
69105;Lacenas;vp;Véhicule particulier;Hybride rechargeable;Crit'Air 1;0;0;0;0;0;0;0;0;0;0;2;8
69105;Lacenas;vp;Véhicule particulier;Electrique et hydrogène;Crit'Air E;0;0;0;0;0;0;0;1;1;3;9;16
69105;Lacenas;vp;Véhicule particulier;Essence;Crit'Air 1;4;12;23;38;40;55;81;105;129;142;172;192
69105;Lacenas;vp;Véhicule particulier;Essence;Crit'Air 2;52;56;54;46;44;42;39;33;36;39;37;35
69105;Lacenas;vp;Véhicule particulier;Essence;Crit'Air 3;105;100;97;79;74;65;62;58;54;51;49;46
69105;Lacenas;vp;Véhicule particulier;Essence;Non classé;74;66;57;47;44;40;32;21;22;18;19;22
69105;Lacenas;vp;Véhicule particulier;Essence HNR;Crit'Air 1;0;0;0;0;0;1;5;6;7;6;12;15
69105;Lacenas;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 1;4;4;4;4;3;4;2;3;4;4;5;5
69105;Lacenas;vp;Véhicule particulier;Gaz et inconnu;Non classé;5;1;1;0;0;0;0;0;0;0;0;0
69106;Lachassagne;vp;Véhicule particulier;Diesel;Crit'Air 2;15;47;96;134;172;215;221;238;241;252;297;357
69106;Lachassagne;vp;Véhicule particulier;Diesel;Crit'Air 3;171;168;160;147;130;122;119;108;102;94;81;67
69106;Lachassagne;vp;Véhicule particulier;Diesel;Crit'Air 4;106;98;91;77;72;74;68;59;55;49;43;38
69106;Lachassagne;vp;Véhicule particulier;Diesel;Crit'Air 5;29;25;21;20;22;19;18;16;16;12;8;8
69106;Lachassagne;vp;Véhicule particulier;Diesel;Non classé;47;36;39;40;30;24;20;17;12;6;5;7
69106;Lachassagne;vp;Véhicule particulier;Diesel HNR;Crit'Air 2;0;0;0;1;1;3;2;1;1;0;0;3
69106;Lachassagne;vp;Véhicule particulier;Hybride rechargeable;Crit'Air 1;0;0;1;1;0;0;0;1;2;1;6;16
69106;Lachassagne;vp;Véhicule particulier;Electrique et hydrogène;Crit'Air E;0;0;0;0;0;0;0;0;2;4;12;38
69106;Lachassagne;vp;Véhicule particulier;Essence;Crit'Air 1;12;21;32;40;56;80;97;126;165;207;233;262
69106;Lachassagne;vp;Véhicule particulier;Essence;Crit'Air 2;59;62;62;63;65;67;69;79;74;75;72;66
69106;Lachassagne;vp;Véhicule particulier;Essence;Crit'Air 3;99;101;92;88;88;84;83;80;71;63;54;49
69106;Lachassagne;vp;Véhicule particulier;Essence;Non classé;70;67;58;52;50;47;40;34;31;32;24;27
69106;Lachassagne;vp;Véhicule particulier;Essence HNR;Crit'Air 1;0;0;0;2;1;3;3;10;10;11;10;20
69106;Lachassagne;vp;Véhicule particulier;Gaz et inconnu;Crit'Air 1;1;2;2;2;3;2;3;2;0;0;0;0
69106;Lachassagne;vp;Véhicule particulier;Gaz et inconnu;Non classé;4;1;1;1;1;0;0;0;0;0;0;0
69107;Lamure-sur-Azergues;vp;Véhicule particulier;Diesel;Crit'Air 2;11;32;47;71;98;116;133;160;173;194;199;210
69107;Lamure-sur-Azergues;vp;Véhicule particulier;Diesel;Crit'Air 3;126;130;136;139;131;135;145;144;140;129;115;109
