nomInstallation;commune;codeDepartement;departement;codeRegion;region;dateRaccordement;dateDeraccordement;dateMiseEnService;dateDebutVersion;posteSource;tensionRaccordement;modeRaccordement;codeFiliere;filiere;codeCombustible;combustible;codesCombustiblesSecondaires;combustiblesSecondaires;codeTechnologie;technologie;typeStockage;puisMaxInstallee;puisMaxRacCharge;puisMaxCharge;puisMaxRac;puisMaxInstalleeDisCharge;nbGroupes;nbInstallations;regime;energieStockable;capaciteReservoir;hauteurChute;productible;debitMaximal;gestionnaire;energieAnnuelleGlissanteInjectee;energieAnnuelleGlissanteProduite;energieAnnuelleGlissanteSoutiree;energieAnnuelleGlissanteStockee;maxPuis;dateMiseEnservice (format date)
Agrégation des installations de moins de 36KW;Affoux;69;Rhône;84;Auvergne-Rhône-Alpes;11/02/2009;;11/02/2009;;;BT;;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;92.35;;;92.15;;;18;;0.0;0.0;0.0;0.0;0.0;;74593;;;;92.35;11/02/2009
Confidentiel;Aigueperse;69;Rhône;84;Auvergne-Rhône-Alpes;08/01/2024;;08/01/2024;08/01/2024;CXFFA;BT;Direct;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;99.8;;;99.8;;;1;En service;0.0;0.0;0.0;0.0;0.0;Enedis;102077;;;;99.8;08/01/2024
Confidentiel;Aigueperse;69;Rhône;84;Auvergne-Rhône-Alpes;27/02/2024;;27/02/2024;27/02/2024;CXFFA;BT;Direct;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;99.8;;;99.8;;;1;En service;0.0;0.0;0.0;0.0;0.0;Enedis;52329;;;;99.8;27/02/2024
Agrégation des installations de moins de 36KW;Albigny-sur-Saône;69;Rhône;84;Auvergne-Rhône-Alpes;09/06/2008;;09/06/2008;;;BT;;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;91.19;;;90.26;;;22;;0.0;0.0;0.0;0.0;0.0;;51628;;;;91.19;09/06/2008
Agrégation des installations de moins de 36KW;Albigny-sur-Saône;69;Rhône;84;Auvergne-Rhône-Alpes;10/04/2021;;10/04/2021;;;BT;;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;44.8;;;42.97;;;10;;0.0;0.0;0.0;0.0;0.0;;22467;;;;44.8;10/04/2021
Agrégation des installations de moins de 36KW;Alix;69;Rhône;84;Auvergne-Rhône-Alpes;12/07/2013;;12/07/2013;;;BT;;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;37.2;;;37.2;;;10;;0.0;0.0;0.0;0.0;0.0;;23636;;;;37.2;12/07/2013
Agrégation des installations de moins de 36KW;Ambérieux;69;Rhône;84;Auvergne-Rhône-Alpes;10/06/2008;;10/06/2008;;;BT;;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;104.47;5.0;5.0;102.07;3.5;1;20;;5.0;0.0;0.0;0.0;0.0;;59330;;;;104.47;10/06/2008
Agrégation des installations de moins de 36KW;Amplepuis;69;Rhône;84;Auvergne-Rhône-Alpes;19/11/2007;;19/11/2007;;;BT;;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;284.26;;;295.95;;;57;;0.0;0.0;0.0;0.0;0.0;;229257;;;;284.26;19/11/2007
Confidentiel;Amplepuis;69;Rhône;84;Auvergne-Rhône-Alpes;21/05/2012;;21/05/2012;01/08/2022;AMPLE;BT;Direct;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;52.0;;;52.0;;;1;En service;0.0;0.0;0.0;0.0;0.0;Enedis;65443;;;;52.0;21/05/2012
Confidentiel;Amplepuis;69;Rhône;84;Auvergne-Rhône-Alpes;01/03/2023;;01/03/2023;01/03/2023;AMPLE;BT;Direct;SOLAI;Solaire;;;;;PHOTV;Photovoltaïque;;75.0;;;45.0;;;1;En service;0.0;0.0;0.0;0.0;0.0;Enedis;37294;;;;75.0;01/03/2023
