Année;Code INSEE région;Région;Conso_nette_corrigée_TWh
2023;84;Auvergne-Rhône-Alpes;57.76
2022;84;Auvergne-Rhône-Alpes;61.24
2021;84;Auvergne-Rhône-Alpes;60.03
2020;84;Auvergne-Rhône-Alpes;58.63
2019;84;Auvergne-Rhône-Alpes;62.26
2018;84;Auvergne-Rhône-Alpes;62.66
2017;84;Auvergne-Rhône-Alpes;62.64
2016;84;Auvergne-Rhône-Alpes;62.72
2015;84;Auvergne-Rhône-Alpes;61.88
2014;84;Auvergne-Rhône-Alpes;61.33
2013;84;Auvergne-Rhône-Alpes;60.01
2012;84;Auvergne-Rhône-Alpes;63.01
2011;84;Auvergne-Rhône-Alpes;67.45
2010;84;Auvergne-Rhône-Alpes;73.8
2009;84;Auvergne-Rhône-Alpes;72.55
2008;84;Auvergne-Rhône-Alpes;74.48
2007;84;Auvergne-Rhône-Alpes;58.18
2006;84;Auvergne-Rhône-Alpes;57.38
