Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;01/01/2021;00:00;1151
Grand Lyon;Données temps réel;01/01/2021;00:15;1157
Grand Lyon;Données temps réel;01/01/2021;00:30;1126
Grand Lyon;Données temps réel;01/01/2021;00:45;1113
Grand Lyon;Données temps réel;01/01/2021;01:00;1087
Grand Lyon;Données temps réel;01/01/2021;01:15;1078
Grand Lyon;Données temps réel;01/01/2021;01:30;1061
Grand Lyon;Données temps réel;01/01/2021;01:45;1064
Grand Lyon;Données temps réel;01/01/2021;02:00;1039
Grand Lyon;Données temps réel;01/01/2021;02:15;1033
Grand Lyon;Données temps réel;01/01/2021;02:30;1013
Grand Lyon;Données temps réel;01/01/2021;02:45;1020
Grand Lyon;Données temps réel;01/01/2021;03:00;1000
Grand Lyon;Données temps réel;01/01/2021;03:15;998
Grand Lyon;Données temps réel;01/01/2021;03:30;994
Grand Lyon;Données temps réel;01/01/2021;03:45;981
Grand Lyon;Données temps réel;01/01/2021;04:00;976
Grand Lyon;Données temps réel;01/01/2021;04:15;978
Grand Lyon;Données temps réel;01/01/2021;04:30;980
Grand Lyon;Données temps réel;01/01/2021;04:45;983
Grand Lyon;Données temps réel;01/01/2021;05:00;987
Grand Lyon;Données temps réel;01/01/2021;05:15;994
Grand Lyon;Données temps réel;01/01/2021;05:30;992
Grand Lyon;Données temps réel;01/01/2021;05:45;1001
Grand Lyon;Données temps réel;01/01/2021;06:00;992
Grand Lyon;Données temps réel;01/01/2021;06:15;993
Grand Lyon;Données temps réel;01/01/2021;06:30;996
Grand Lyon;Données temps réel;01/01/2021;06:45;994
Grand Lyon;Données temps réel;01/01/2021;07:00;1005
Grand Lyon;Données temps réel;01/01/2021;07:15;1017
Grand Lyon;Données temps réel;01/01/2021;07:30;1005
Grand Lyon;Données temps réel;01/01/2021;07:45;1021
Grand Lyon;Données temps réel;01/01/2021;08:00;1025
Grand Lyon;Données temps réel;01/01/2021;08:15;1012
Grand Lyon;Données temps réel;01/01/2021;08:30;1018
Grand Lyon;Données temps réel;01/01/2021;08:45;1035
Grand Lyon;Données temps réel;01/01/2021;09:00;1036
Grand Lyon;Données temps réel;01/01/2021;09:15;1045
Grand Lyon;Données temps réel;01/01/2021;09:30;1049
Grand Lyon;Données temps réel;01/01/2021;09:45;1052
Grand Lyon;Données temps réel;01/01/2021;10:00;1070
Grand Lyon;Données temps réel;01/01/2021;10:15;1094
Grand Lyon;Données temps réel;01/01/2021;10:30;1091
Grand Lyon;Données temps réel;01/01/2021;10:45;1100
Grand Lyon;Données temps réel;01/01/2021;11:00;1112
Grand Lyon;Données temps réel;01/01/2021;11:15;1113
Grand Lyon;Données temps réel;01/01/2021;11:30;1129
Grand Lyon;Données temps réel;01/01/2021;11:45;1151
Grand Lyon;Données temps réel;01/01/2021;12:00;1174
Grand Lyon;Données temps réel;01/01/2021;12:15;1174
Grand Lyon;Données temps réel;01/01/2021;12:30;1169
Grand Lyon;Données temps réel;01/01/2021;12:45;1194
Grand Lyon;Données temps réel;01/01/2021;13:00;1178
Grand Lyon;Données temps réel;01/01/2021;13:15;1168
Grand Lyon;Données temps réel;01/01/2021;13:30;1170
Grand Lyon;Données temps réel;01/01/2021;13:45;1157
Grand Lyon;Données temps réel;01/01/2021;14:00;1140
Grand Lyon;Données temps réel;01/01/2021;14:15;1141
Grand Lyon;Données temps réel;01/01/2021;14:30;1131
Grand Lyon;Données temps réel;01/01/2021;14:45;1129
Grand Lyon;Données temps réel;01/01/2021;15:00;1124
Grand Lyon;Données temps réel;01/01/2021;15:15;1131
