Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh)
Enedis;2011;Electricité;9682.59;107;0;0.912;1661273.83;2645;0;0.947;3139189.2;10217;0;0.943;4860220.7;970220;4;0.361;12566.65;69;0;0.875;69;Rhône;84;Auvergne-Rhône-Alpes;100;9682932.97
GRDF;2011;Gaz;9200.0;17;0;1.0;1237600.0;491;0;0.996;2462047.0;2252;0;0.992;5787437.0;420363;18;0.272;90226.0;106;28;0.994;69;Rhône;84;Auvergne-Rhône-Alpes;200;9586510.0
Enedis;2012;Electricité;9232.28;108;0;0.918;1647566.66;2831;0;0.951;3224159.86;10485;0;0.946;5140608.04;984961;4;0.417;6627.97;75;0;0.807;69;Rhône;84;Auvergne-Rhône-Alpes;100;10028194.81
GRDF;2012;Gaz;8588.0;16;0;1.0;1293110.0;474;0;1.0;2747422.0;2246;0;0.999;6351147.0;417538;16;0.256;98821.0;109;15;0.996;69;Rhône;84;Auvergne-Rhône-Alpes;200;10499088.0
RTE;2013;Electricité;0.0;0;0;0.0;1114087.83;18;0;1.0;151076.09;13;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;100;1265163.9200000002
GRT Gaz;2013;Gaz;0.0;0;0;0.0;3586826.92;27;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;200;3586826.92
RTE;2014;Electricité;0.0;0;0;0.0;1146780.28;18;0;1.0;147518.96;13;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;100;1294299.24
RTE;2016;Electricité;0.0;0;0;0.0;1094683.71;18;0;1.0;154341.01;14;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;100;1249024.72
GRT Gaz;2017;Gaz;0.0;0;0;0.0;3351688.62;25;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;200;3351688.62
RTE;2018;Electricité;0.0;0;0;0.0;1133531.05;16;0;0.0;178451.208;17;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;69;Rhône;84;Auvergne-Rhône-Alpes;100;1311982.2580000001
GRDF;2018;Gaz;9474.24355;35;29;0.517;2482617.90573;2411;130;0.374;2606429.54837;15715;44;0.265;4397759.80709;413292;32;0.351;1722.50496;106;0;0.246;69;Rhône;84;Auvergne-Rhône-Alpes;200;9498004.0097
