Périmètre;Nature;Date;Heures;Consommation;;;;
Aix Marseille;Données temps réel;19/04/2017;00:00;1486;;;;
Aix Marseille;Données temps réel;19/04/2017;00:15;1448;;;;
Aix Marseille;Données temps réel;19/04/2017;00:30;1406;;;;
Aix Marseille;Données temps réel;19/04/2017;00:45;1346;;;;
Aix Marseille;Données temps réel;19/04/2017;01:00;1270;;;;
Aix Marseille;Données temps réel;19/04/2017;01:15;1246;;;;
Aix Marseille;Données temps réel;19/04/2017;01:30;1250;;;;
Aix Marseille;Données temps réel;19/04/2017;01:45;1261;;;;
Aix Marseille;Données temps réel;19/04/2017;02:00;1245;;;;
Aix Marseille;Données temps réel;19/04/2017;02:15;1313;;;;
Aix Marseille;Données temps réel;19/04/2017;02:30;1336;;;;
Aix Marseille;Données temps réel;19/04/2017;02:45;1298;;;;
Aix Marseille;Données temps réel;19/04/2017;03:00;1220;;;;
Aix Marseille;Données temps réel;19/04/2017;03:15;1211;;;;
Aix Marseille;Données temps réel;19/04/2017;03:30;1210;;;;
Aix Marseille;Données temps réel;19/04/2017;03:45;1244;;;;
Aix Marseille;Données temps réel;19/04/2017;04:00;1221;;;;
Aix Marseille;Données temps réel;19/04/2017;04:15;1183;;;;
Aix Marseille;Données temps réel;19/04/2017;04:30;1141;;;;
Aix Marseille;Données temps réel;19/04/2017;04:45;1187;;;;
Aix Marseille;Données temps réel;19/04/2017;05:00;1142;;;;
Aix Marseille;Données temps réel;19/04/2017;05:15;1210;;;;
Aix Marseille;Données temps réel;19/04/2017;05:30;1220;;;;
Aix Marseille;Données temps réel;19/04/2017;05:45;1227;;;;
Aix Marseille;Données temps réel;19/04/2017;06:00;1236;;;;
Aix Marseille;Données temps réel;19/04/2017;06:15;1311;;;;
Aix Marseille;Données temps réel;19/04/2017;06:30;1348;;;;
Aix Marseille;Données temps réel;19/04/2017;06:45;1363;;;;
Aix Marseille;Données temps réel;19/04/2017;07:00;1403;;;;
Aix Marseille;Données temps réel;19/04/2017;07:15;1424;;;;
Aix Marseille;Données temps réel;19/04/2017;07:30;1394;;;;
Aix Marseille;Données temps réel;19/04/2017;07:45;1471;;;;
Aix Marseille;Données temps réel;19/04/2017;08:00;1494;;;;
Aix Marseille;Données temps réel;19/04/2017;08:15;1569;;;;
Aix Marseille;Données temps réel;19/04/2017;08:30;1578;;;;
Aix Marseille;Données temps réel;19/04/2017;08:45;1553;;;;
Aix Marseille;Données temps réel;19/04/2017;09:00;1581;;;;
Aix Marseille;Données temps réel;19/04/2017;09:15;1628;;;;
Aix Marseille;Données temps réel;19/04/2017;09:30;1583;;;;
Aix Marseille;Données temps réel;19/04/2017;09:45;1624;;;;
Aix Marseille;Données temps réel;19/04/2017;10:00;1600;;;;
Aix Marseille;Données temps réel;19/04/2017;10:15;1659;;;;
Aix Marseille;Données temps réel;19/04/2017;10:30;1643;;;;
Aix Marseille;Données temps réel;19/04/2017;10:45;1604;;;;
Aix Marseille;Données temps réel;19/04/2017;11:00;1588;;;;
Aix Marseille;Données temps réel;19/04/2017;11:15;1631;;;;
Aix Marseille;Données temps réel;19/04/2017;11:30;1615;;;;
Aix Marseille;Données temps réel;19/04/2017;11:45;1625;;;;
Aix Marseille;Données temps réel;19/04/2017;12:00;1598;;;;
Aix Marseille;Données temps réel;19/04/2017;12:15;1599;;;;
Aix Marseille;Données temps réel;19/04/2017;12:30;1605;;;;
Aix Marseille;Données temps réel;19/04/2017;12:45;1545;;;;
Aix Marseille;Données temps réel;19/04/2017;13:00;1600;;;;
Aix Marseille;Données temps réel;19/04/2017;13:15;1624;;;;
Aix Marseille;Données temps réel;19/04/2017;13:30;1648;;;;
Aix Marseille;Données temps réel;19/04/2017;13:45;1649;;;;
Aix Marseille;Données temps réel;19/04/2017;14:00;1576;;;;
Aix Marseille;Données temps réel;19/04/2017;14:15;1638;;;;
Aix Marseille;Données temps réel;19/04/2017;14:30;1601;;;;
Aix Marseille;Données temps réel;19/04/2017;14:45;1606;;;;
Aix Marseille;Données temps réel;19/04/2017;15:00;1518;;;;
Aix Marseille;Données temps réel;19/04/2017;15:15;1536;;;;
Aix Marseille;Données temps réel;19/04/2017;15:30;1523;;;;
Aix Marseille;Données temps réel;19/04/2017;15:45;1432;;;;
Aix Marseille;Données temps réel;19/04/2017;16:00;1432;;;;
Aix Marseille;Données temps réel;19/04/2017;16:15;1375;;;;
Aix Marseille;Données temps réel;19/04/2017;16:30;1393;;;;
Aix Marseille;Données temps réel;19/04/2017;16:45;1393;;;;
Aix Marseille;Données temps réel;19/04/2017;17:00;1382;;;;
Aix Marseille;Données temps réel;19/04/2017;17:15;1317;;;;
Aix Marseille;Données temps réel;19/04/2017;17:30;1319;;;;
Aix Marseille;Données temps réel;19/04/2017;17:45;1347;;;;
Aix Marseille;Données temps réel;19/04/2017;18:00;1397;;;;
Aix Marseille;Données temps réel;19/04/2017;18:15;1308;;;;
Aix Marseille;Données temps réel;19/04/2017;18:30;1357;;;;
Aix Marseille;Données temps réel;19/04/2017;18:45;1347;;;;
Aix Marseille;Données temps réel;19/04/2017;19:00;1363;;;;
Aix Marseille;Données temps réel;19/04/2017;19:15;1373;;;;
Aix Marseille;Données temps réel;19/04/2017;19:30;1447;;;;
Aix Marseille;Données temps réel;19/04/2017;19:45;1455;;;;
Aix Marseille;Données temps réel;19/04/2017;20:00;1493;;;;
Aix Marseille;Données temps réel;19/04/2017;20:15;1491;;;;
Aix Marseille;Données temps réel;19/04/2017;20:30;1492;;;;
Aix Marseille;Données temps réel;19/04/2017;20:45;1491;;;;
Aix Marseille;Données temps réel;19/04/2017;21:00;1495;;;;
Aix Marseille;Données temps réel;19/04/2017;21:15;1493;;;;
Aix Marseille;Données temps réel;19/04/2017;21:30;1499;;;;
Aix Marseille;Données temps réel;19/04/2017;21:45;1449;;;;
Aix Marseille;Données temps réel;19/04/2017;22:00;1359;;;;
Aix Marseille;Données temps réel;19/04/2017;22:15;1333;;;;
Aix Marseille;Données temps réel;19/04/2017;22:30;1334;;;;
Aix Marseille;Données temps réel;19/04/2017;22:45;1368;;;;
Aix Marseille;Données temps réel;19/04/2017;23:00;1410;;;;
Aix Marseille;Données temps réel;19/04/2017;23:15;1543;;;;
Aix Marseille;Données temps réel;19/04/2017;23:30;1511;;;;
Aix Marseille;Données temps réel;19/04/2017;23:45;1508;;;;
Aix Marseille;Données temps réel;20/04/2017;00:00;1465;;;;
Aix Marseille;Données temps réel;20/04/2017;00:15;1509;;;;
Aix Marseille;Données temps réel;20/04/2017;00:30;1448;;;;
Aix Marseille;Données temps réel;20/04/2017;00:45;1350;;;;
Aix Marseille;Données temps réel;20/04/2017;01:00;1314;;;;
Aix Marseille;Données temps réel;20/04/2017;01:15;1294;;;;
Aix Marseille;Données temps réel;20/04/2017;01:30;1282;;;;
Aix Marseille;Données temps réel;20/04/2017;01:45;1305;;;;
Aix Marseille;Données temps réel;20/04/2017;02:00;1325;;;;
Aix Marseille;Données temps réel;20/04/2017;02:15;1430;;;;
Aix Marseille;Données temps réel;20/04/2017;02:30;1386;;;;
Aix Marseille;Données temps réel;20/04/2017;02:45;1346;;;;
Aix Marseille;Données temps réel;20/04/2017;03:00;1318;;;;
Aix Marseille;Données temps réel;20/04/2017;03:15;1278;;;;
Aix Marseille;Données temps réel;20/04/2017;03:30;1297;;;;
Aix Marseille;Données temps réel;20/04/2017;03:45;1288;;;;
Aix Marseille;Données temps réel;20/04/2017;04:00;1254;;;;
Aix Marseille;Données temps réel;20/04/2017;04:15;1266;;;;
Aix Marseille;Données temps réel;20/04/2017;04:30;1265;;;;
Aix Marseille;Données temps réel;20/04/2017;04:45;1226;;;;
Aix Marseille;Données temps réel;20/04/2017;05:00;1221;;;;
Aix Marseille;Données temps réel;20/04/2017;05:15;1236;;;;
Aix Marseille;Données temps réel;20/04/2017;05:30;1262;;;;
Aix Marseille;Données temps réel;20/04/2017;05:45;1279;;;;
Aix Marseille;Données temps réel;20/04/2017;06:00;1322;;;;
Aix Marseille;Données temps réel;20/04/2017;06:15;1416;;;;
Aix Marseille;Données temps réel;20/04/2017;06:30;1456;;;;
Aix Marseille;Données temps réel;20/04/2017;06:45;1415;;;;
Aix Marseille;Données temps réel;20/04/2017;07:00;1468;;;;
Aix Marseille;Données temps réel;20/04/2017;07:15;1444;;;;
Aix Marseille;Données temps réel;20/04/2017;07:30;1533;;;;
Aix Marseille;Données temps réel;20/04/2017;07:45;1554;;;;
Aix Marseille;Données temps réel;20/04/2017;08:00;1539;;;;
Aix Marseille;Données temps réel;20/04/2017;08:15;1569;;;;
Aix Marseille;Données temps réel;20/04/2017;08:30;1590;;;;
Aix Marseille;Données temps réel;20/04/2017;08:45;1668;;;;
Aix Marseille;Données temps réel;20/04/2017;09:00;1673;;;;
Aix Marseille;Données temps réel;20/04/2017;09:15;1722;;;;
Aix Marseille;Données temps réel;20/04/2017;09:30;1696;;;;
Aix Marseille;Données temps réel;20/04/2017;09:45;1716;;;;
Aix Marseille;Données temps réel;20/04/2017;10:00;1675;;;;
Aix Marseille;Données temps réel;20/04/2017;10:15;1723;;;;
Aix Marseille;Données temps réel;20/04/2017;10:30;1710;;;;
Aix Marseille;Données temps réel;20/04/2017;10:45;1722;;;;
Aix Marseille;Données temps réel;20/04/2017;11:00;1681;;;;
Aix Marseille;Données temps réel;20/04/2017;11:15;1656;;;;
Aix Marseille;Données temps réel;20/04/2017;11:30;1677;;;;
Aix Marseille;Données temps réel;20/04/2017;11:45;1709;;;;
Aix Marseille;Données temps réel;20/04/2017;12:00;1652;;;;
Aix Marseille;Données temps réel;20/04/2017;12:15;1669;;;;
Aix Marseille;Données temps réel;20/04/2017;12:30;1662;;;;
Aix Marseille;Données temps réel;20/04/2017;12:45;1594;;;;
Aix Marseille;Données temps réel;20/04/2017;13:00;1611;;;;
Aix Marseille;Données temps réel;20/04/2017;13:15;1727;;;;
Aix Marseille;Données temps réel;20/04/2017;13:30;1706;;;;
Aix Marseille;Données temps réel;20/04/2017;13:45;1671;;;;
Aix Marseille;Données temps réel;20/04/2017;14:00;1618;;;;
Aix Marseille;Données temps réel;20/04/2017;14:15;1652;;;;
Aix Marseille;Données temps réel;20/04/2017;14:30;1616;;;;
Aix Marseille;Données temps réel;20/04/2017;14:45;1610;;;;
Aix Marseille;Données temps réel;20/04/2017;15:00;1640;;;;
Aix Marseille;Données temps réel;20/04/2017;15:15;1623;;;;
Aix Marseille;Données temps réel;20/04/2017;15:30;1574;;;;
Aix Marseille;Données temps réel;20/04/2017;15:45;1550;;;;
Aix Marseille;Données temps réel;20/04/2017;16:00;1516;;;;
Aix Marseille;Données temps réel;20/04/2017;16:15;1480;;;;
Aix Marseille;Données temps réel;20/04/2017;16:30;1477;;;;
Aix Marseille;Données temps réel;20/04/2017;16:45;1453;;;;
Aix Marseille;Données temps réel;20/04/2017;17:00;1444;;;;
Aix Marseille;Données temps réel;20/04/2017;17:15;1431;;;;
Aix Marseille;Données temps réel;20/04/2017;17:30;1432;;;;
Aix Marseille;Données temps réel;20/04/2017;17:45;1425;;;;
Aix Marseille;Données temps réel;20/04/2017;18:00;1409;;;;
Aix Marseille;Données temps réel;20/04/2017;18:15;1402;;;;
Aix Marseille;Données temps réel;20/04/2017;18:30;1441;;;;
Aix Marseille;Données temps réel;20/04/2017;18:45;1489;;;;
