Périmètre;Nature;Date;Heures;Consommation;;;;;;
Bordeaux;Données temps réel;25/04/2017;00:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;00:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;00:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;00:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;01:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;01:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;01:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;01:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;02:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;02:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;02:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;02:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;03:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;03:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;03:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;03:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;04:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;04:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;04:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;04:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;05:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;05:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;05:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;05:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;06:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;06:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;06:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;06:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;07:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;07:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;07:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;07:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;08:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;08:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;08:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;08:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;09:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;09:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;09:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;09:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;10:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;10:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;10:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;10:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;11:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;11:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;11:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;11:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;12:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;12:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;12:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;12:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;13:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;13:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;13:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;13:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;14:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;14:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;14:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;14:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;15:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;15:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;15:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;15:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;16:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;16:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;16:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;16:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;17:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;17:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;17:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;17:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;18:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;18:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;18:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;18:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;19:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;19:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;19:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;19:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;20:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;20:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;20:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;20:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;21:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;21:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;21:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;21:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;22:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;22:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;22:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;22:45;;;;;;;
Bordeaux;Données temps réel;25/04/2017;23:00;;;;;;;
Bordeaux;Données temps réel;25/04/2017;23:15;;;;;;;
Bordeaux;Données temps réel;25/04/2017;23:30;;;;;;;
Bordeaux;Données temps réel;25/04/2017;23:45;;;;;;;
Bordeaux;Données temps réel;26/04/2017;00:00;;;;;;;
Bordeaux;Données temps réel;26/04/2017;00:15;;;;;;;
Bordeaux;Données temps réel;26/04/2017;00:30;;;;;;;
Bordeaux;Données temps réel;26/04/2017;00:45;;;;;;;
Bordeaux;Données temps réel;26/04/2017;01:00;;;;;;;
