Périmètre;Nature;Date;Heures;Consommation;;;;
Lille;Données temps réel;19/04/2017;00:00;912;;;;
Lille;Données temps réel;19/04/2017;00:15;935;;;;
Lille;Données temps réel;19/04/2017;00:30;921;;;;
Lille;Données temps réel;19/04/2017;00:45;902;;;;
Lille;Données temps réel;19/04/2017;01:00;900;;;;
Lille;Données temps réel;19/04/2017;01:15;938;;;;
Lille;Données temps réel;19/04/2017;01:30;913;;;;
Lille;Données temps réel;19/04/2017;01:45;888;;;;
Lille;Données temps réel;19/04/2017;02:00;879;;;;
Lille;Données temps réel;19/04/2017;02:15;877;;;;
Lille;Données temps réel;19/04/2017;02:30;858;;;;
Lille;Données temps réel;19/04/2017;02:45;838;;;;
Lille;Données temps réel;19/04/2017;03:00;834;;;;
Lille;Données temps réel;19/04/2017;03:15;833;;;;
Lille;Données temps réel;19/04/2017;03:30;818;;;;
Lille;Données temps réel;19/04/2017;03:45;816;;;;
Lille;Données temps réel;19/04/2017;04:00;810;;;;
Lille;Données temps réel;19/04/2017;04:15;807;;;;
Lille;Données temps réel;19/04/2017;04:30;809;;;;
Lille;Données temps réel;19/04/2017;04:45;821;;;;
Lille;Données temps réel;19/04/2017;05:00;826;;;;
Lille;Données temps réel;19/04/2017;05:15;861;;;;
Lille;Données temps réel;19/04/2017;05:30;878;;;;
Lille;Données temps réel;19/04/2017;05:45;864;;;;
Lille;Données temps réel;19/04/2017;06:00;885;;;;
Lille;Données temps réel;19/04/2017;06:15;918;;;;
Lille;Données temps réel;19/04/2017;06:30;920;;;;
Lille;Données temps réel;19/04/2017;06:45;946;;;;
Lille;Données temps réel;19/04/2017;07:00;964;;;;
Lille;Données temps réel;19/04/2017;07:15;1002;;;;
Lille;Données temps réel;19/04/2017;07:30;996;;;;
Lille;Données temps réel;19/04/2017;07:45;1025;;;;
Lille;Données temps réel;19/04/2017;08:00;1038;;;;
Lille;Données temps réel;19/04/2017;08:15;1045;;;;
Lille;Données temps réel;19/04/2017;08:30;1046;;;;
Lille;Données temps réel;19/04/2017;08:45;1090;;;;
Lille;Données temps réel;19/04/2017;09:00;1057;;;;
Lille;Données temps réel;19/04/2017;09:15;1073;;;;
Lille;Données temps réel;19/04/2017;09:30;1064;;;;
Lille;Données temps réel;19/04/2017;09:45;1063;;;;
Lille;Données temps réel;19/04/2017;10:00;1071;;;;
Lille;Données temps réel;19/04/2017;10:15;1071;;;;
Lille;Données temps réel;19/04/2017;10:30;1057;;;;
Lille;Données temps réel;19/04/2017;10:45;1055;;;;
Lille;Données temps réel;19/04/2017;11:00;1068;;;;
Lille;Données temps réel;19/04/2017;11:15;1073;;;;
Lille;Données temps réel;19/04/2017;11:30;1072;;;;
Lille;Données temps réel;19/04/2017;11:45;1073;;;;
Lille;Données temps réel;19/04/2017;12:00;1079;;;;
Lille;Données temps réel;19/04/2017;12:15;1072;;;;
Lille;Données temps réel;19/04/2017;12:30;1075;;;;
Lille;Données temps réel;19/04/2017;12:45;1106;;;;
Lille;Données temps réel;19/04/2017;13:00;1110;;;;
Lille;Données temps réel;19/04/2017;13:15;1091;;;;
Lille;Données temps réel;19/04/2017;13:30;1070;;;;
Lille;Données temps réel;19/04/2017;13:45;1049;;;;
Lille;Données temps réel;19/04/2017;14:00;1032;;;;
Lille;Données temps réel;19/04/2017;14:15;1047;;;;
Lille;Données temps réel;19/04/2017;14:30;1007;;;;
