Périmètre;Nature;Date;Heures;Consommation;;;;
Strasbourg;Données temps réel;25/04/2017;00:00;;;;;
Strasbourg;Données temps réel;25/04/2017;00:15;;;;;
Strasbourg;Données temps réel;25/04/2017;00:30;;;;;
Strasbourg;Données temps réel;25/04/2017;00:45;;;;;
Strasbourg;Données temps réel;25/04/2017;01:00;;;;;
Strasbourg;Données temps réel;25/04/2017;01:15;;;;;
Strasbourg;Données temps réel;25/04/2017;01:30;;;;;
Strasbourg;Données temps réel;25/04/2017;01:45;;;;;
Strasbourg;Données temps réel;25/04/2017;02:00;;;;;
Strasbourg;Données temps réel;25/04/2017;02:15;;;;;
Strasbourg;Données temps réel;25/04/2017;02:30;;;;;
Strasbourg;Données temps réel;25/04/2017;02:45;;;;;
Strasbourg;Données temps réel;25/04/2017;03:00;;;;;
Strasbourg;Données temps réel;25/04/2017;03:15;;;;;
Strasbourg;Données temps réel;25/04/2017;03:30;;;;;
Strasbourg;Données temps réel;25/04/2017;03:45;;;;;
Strasbourg;Données temps réel;25/04/2017;04:00;;;;;
Strasbourg;Données temps réel;25/04/2017;04:15;;;;;
Strasbourg;Données temps réel;25/04/2017;04:30;;;;;
Strasbourg;Données temps réel;25/04/2017;04:45;;;;;
Strasbourg;Données temps réel;25/04/2017;05:00;;;;;
Strasbourg;Données temps réel;25/04/2017;05:15;;;;;
Strasbourg;Données temps réel;25/04/2017;05:30;;;;;
Strasbourg;Données temps réel;25/04/2017;05:45;;;;;
Strasbourg;Données temps réel;25/04/2017;06:00;;;;;
Strasbourg;Données temps réel;25/04/2017;06:15;;;;;
Strasbourg;Données temps réel;25/04/2017;06:30;;;;;
Strasbourg;Données temps réel;25/04/2017;06:45;;;;;
Strasbourg;Données temps réel;25/04/2017;07:00;;;;;
Strasbourg;Données temps réel;25/04/2017;07:15;;;;;
Strasbourg;Données temps réel;25/04/2017;07:30;;;;;
Strasbourg;Données temps réel;25/04/2017;07:45;;;;;
Strasbourg;Données temps réel;25/04/2017;08:00;;;;;
Strasbourg;Données temps réel;25/04/2017;08:15;;;;;
Strasbourg;Données temps réel;25/04/2017;08:30;;;;;
Strasbourg;Données temps réel;25/04/2017;08:45;;;;;
Strasbourg;Données temps réel;25/04/2017;09:00;;;;;
Strasbourg;Données temps réel;25/04/2017;09:15;;;;;
Strasbourg;Données temps réel;25/04/2017;09:30;;;;;
Strasbourg;Données temps réel;25/04/2017;09:45;;;;;
Strasbourg;Données temps réel;25/04/2017;10:00;;;;;
Strasbourg;Données temps réel;25/04/2017;10:15;;;;;
Strasbourg;Données temps réel;25/04/2017;10:30;;;;;
Strasbourg;Données temps réel;25/04/2017;10:45;;;;;
Strasbourg;Données temps réel;25/04/2017;11:00;;;;;
Strasbourg;Données temps réel;25/04/2017;11:15;;;;;
Strasbourg;Données temps réel;25/04/2017;11:30;;;;;
Strasbourg;Données temps réel;25/04/2017;11:45;;;;;
Strasbourg;Données temps réel;25/04/2017;12:00;;;;;
Strasbourg;Données temps réel;25/04/2017;12:15;;;;;
Strasbourg;Données temps réel;25/04/2017;12:30;;;;;
Strasbourg;Données temps réel;25/04/2017;12:45;;;;;
Strasbourg;Données temps réel;25/04/2017;13:00;;;;;
Strasbourg;Données temps réel;25/04/2017;13:15;;;;;
Strasbourg;Données temps réel;25/04/2017;13:30;;;;;
Strasbourg;Données temps réel;25/04/2017;13:45;;;;;
Strasbourg;Données temps réel;25/04/2017;14:00;;;;;
Strasbourg;Données temps réel;25/04/2017;14:15;;;;;
Strasbourg;Données temps réel;25/04/2017;14:30;;;;;
Strasbourg;Données temps réel;25/04/2017;14:45;;;;;
