MM/AAAA,Consommation
04/2017,1129227.0
05/2017,2553489.0
06/2017,2616975.0
07/2017,2579485.0
08/2017,2433325.0
09/2017,2469659.0
10/2017,2565045.0
11/2017,3357673.0
12/2017,3484425.0
01/2018,3436233.0
02/2018,3496500.0
03/2018,3362304.0
04/2018,2544222.0
05/2018,2338781.0
06/2018,2422731.0
07/2018,2579661.0
08/2018,2393314.0
09/2018,2405284.0
10/2018,2437267.0
11/2018,3108342.0
12/2018,3280654.0
01/2019,3915350.0
02/2019,3103528.0
03/2019,2925081.0
04/2019,2758697.0
05/2019,2635427.0
06/2019,2485674.0
07/2019,2695823.0
08/2019,2359622.0
09/2019,2504723.0
10/2019,2587474.0
11/2019,3087159.0
12/2019,3328865.0
01/2020,3688254.0
02/2020,3079019.0
03/2020,2789130.0
04/2020,2282136.0
05/2020,2301362.0
06/2020,2341721.0
07/2020,2550845.0
08/2020,2411901.0
09/2020,2531197.0
10/2020,2770156.0
11/2020,3016156.0
12/2020,3463972.0
01/2021,3885093.0
02/2021,2942074.0
03/2021,2934846.0
04/2021,2785301.0
05/2021,2570262.0
06/2021,2480617.0
07/2021,2490300.0
08/2021,2292247.0
09/2021,2434065.0
10/2021,2698782.0
11/2021,3376460.0
12/2021,3744729.0
01/2022,4078756.0
02/2022,3135083.0
03/2022,3081258.0
04/2022,2669808.0
05/2022,2494216.0
06/2022,2594005.0
07/2022,2616902.0
08/2022,2498503.0
09/2022,2445665.0
10/2022,2291711.0
11/2022,2724488.0
12/2022,3358843.0
01/2023,3511826.0
02/2023,3124062.0
03/2023,3016514.0
04/2023,2608565.0
05/2023,2396726.0
06/2023,2496833.0
07/2023,2516763.0
08/2023,2514396.0
09/2023,2544118.0
10/2023,2558868.0
11/2023,3098316.0
12/2023,3515509.0
01/2024,3771757
02/2024,3037456
03/2024,3024929
04/2024,2705945
05/2024,2548727
06/2024,2464267
07/2024,2627845
08/2024,2512820
09/2024,2433573
10/2024,2581877
11/2024,3061761
12/2024,1478973
