OPERATEUR;FILIERE;Année;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Type EPCI;Code Département;Nom Département;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
GRT Gaz;Gaz;2013;69152;Pierre-Bénite;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;205596.8;205596.8;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2013;69199;Saint-Fons;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;5;1572166.0;314433.2;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2013;69290;Saint-Priest;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;10185.88;10185.88;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2013;69296;Solaize;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;49837.36;49837.36;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
RTE;Electricité;2014;69163;Quincieux;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;1;6221.6;6221.6;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
RTE;Electricité;2014;69286;Rillieux-la-Pape;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;6128.71;6128.71;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
RTE;Electricité;2014;69387;Lyon 7e Arrondissement;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;2;53936.07;26968.035;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69063;Collonges-au-Mont-d'Or;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;AGRICULTURE;;1;160.8;160.8;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69063;Collonges-au-Mont-d'Or;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;8;56585.26;7073.1575;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69063;Collonges-au-Mont-d'Or;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;14;1508.41;107.743571428571;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69068;Couzon-au-Mont-d'Or;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;1287;7627.68;5.92671328671329;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69072;Dardilly;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;3950;35504.43;8.98846329113924;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69081;Écully;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;9142;48389.86;5.2931371691096;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69087;Fontaines-Saint-Martin;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;1215;8093.17;6.66104526748971;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69089;Francheville;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;9;771.62;85.7355555555555;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69089;Francheville;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;53;14273.89;269.318679245283;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69091;Givors;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;AGRICULTURE;;1;49.52;49.52;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69091;Givors;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;16;4304.04;269.0025;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;69117;Lissieu;200046977;Métropole de Lyon;;69;Rhône;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;7;1300.75;185.821428571429;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
