Date;Code Région;Nom Région;Max Conso totale gaz (KWh 0°C PCS)
21/01/2019;84;Auvergne-Rhône-Alpes;14168
31/01/2019;84;Auvergne-Rhône-Alpes;14428
07/02/2019;84;Auvergne-Rhône-Alpes;13802
12/02/2019;84;Auvergne-Rhône-Alpes;14065
19/02/2019;84;Auvergne-Rhône-Alpes;12208
21/02/2019;84;Auvergne-Rhône-Alpes;11920
28/02/2019;84;Auvergne-Rhône-Alpes;10434
03/05/2020;84;Auvergne-Rhône-Alpes;3952
07/05/2020;84;Auvergne-Rhône-Alpes;4244
11/05/2020;84;Auvergne-Rhône-Alpes;4039
14/05/2020;84;Auvergne-Rhône-Alpes;5389
19/05/2020;84;Auvergne-Rhône-Alpes;4130
20/05/2020;84;Auvergne-Rhône-Alpes;4205
24/05/2020;84;Auvergne-Rhône-Alpes;2715
25/05/2020;84;Auvergne-Rhône-Alpes;3502
12/06/2020;84;Auvergne-Rhône-Alpes;4204
16/06/2020;84;Auvergne-Rhône-Alpes;4402
21/06/2020;84;Auvergne-Rhône-Alpes;3014
25/06/2020;84;Auvergne-Rhône-Alpes;3869
27/06/2020;84;Auvergne-Rhône-Alpes;2935
06/07/2020;84;Auvergne-Rhône-Alpes;3705
07/07/2020;84;Auvergne-Rhône-Alpes;4205
10/07/2020;84;Auvergne-Rhône-Alpes;3816
13/07/2020;84;Auvergne-Rhône-Alpes;3039
17/07/2020;84;Auvergne-Rhône-Alpes;3915
21/07/2020;84;Auvergne-Rhône-Alpes;3725
26/07/2020;84;Auvergne-Rhône-Alpes;2673
30/07/2020;84;Auvergne-Rhône-Alpes;3541
05/08/2020;84;Auvergne-Rhône-Alpes;3104
09/08/2020;84;Auvergne-Rhône-Alpes;2269
11/08/2020;84;Auvergne-Rhône-Alpes;2770
08/09/2020;84;Auvergne-Rhône-Alpes;4378
13/09/2020;84;Auvergne-Rhône-Alpes;3052
16/09/2020;84;Auvergne-Rhône-Alpes;3999
24/09/2020;84;Auvergne-Rhône-Alpes;4420
30/09/2020;84;Auvergne-Rhône-Alpes;6987
12/11/2019;84;Auvergne-Rhône-Alpes;12218
09/04/2021;84;Auvergne-Rhône-Alpes;10082
12/04/2021;84;Auvergne-Rhône-Alpes;10055
15/04/2021;84;Auvergne-Rhône-Alpes;11397
17/04/2021;84;Auvergne-Rhône-Alpes;9626
02/05/2021;84;Auvergne-Rhône-Alpes;6840
09/07/2018;84;Auvergne-Rhône-Alpes;3011
25/06/2018;84;Auvergne-Rhône-Alpes;3424
27/06/2018;84;Auvergne-Rhône-Alpes;3365
05/07/2018;84;Auvergne-Rhône-Alpes;3872
19/08/2018;84;Auvergne-Rhône-Alpes;1798
26/08/2018;84;Auvergne-Rhône-Alpes;2212
08/04/2020;84;Auvergne-Rhône-Alpes;5534
01/05/2020;84;Auvergne-Rhône-Alpes;4243
28/01/2024;84;Auvergne-Rhône-Alpes;7884
02/02/2024;84;Auvergne-Rhône-Alpes;8576
06/02/2024;84;Auvergne-Rhône-Alpes;10591
10/02/2024;84;Auvergne-Rhône-Alpes;6397
05/12/2019;84;Auvergne-Rhône-Alpes;14578
06/12/2019;84;Auvergne-Rhône-Alpes;14895
08/12/2019;84;Auvergne-Rhône-Alpes;9315
11/12/2019;84;Auvergne-Rhône-Alpes;13573
18/12/2019;84;Auvergne-Rhône-Alpes;8891
29/12/2019;84;Auvergne-Rhône-Alpes;9066
08/01/2020;84;Auvergne-Rhône-Alpes;12144
17/12/2019;84;Auvergne-Rhône-Alpes;9411
05/12/2023;84;Auvergne-Rhône-Alpes;104933
10/12/2023;84;Auvergne-Rhône-Alpes;7142
13/12/2023;84;Auvergne-Rhône-Alpes;8231
14/12/2023;84;Auvergne-Rhône-Alpes;80001
20/12/2023;84;Auvergne-Rhône-Alpes;10034
27/12/2023;84;Auvergne-Rhône-Alpes;91549
28/12/2023;84;Auvergne-Rhône-Alpes;77195
03/01/2024;84;Auvergne-Rhône-Alpes;7936
05/01/2024;84;Auvergne-Rhône-Alpes;8471
06/01/2024;84;Auvergne-Rhône-Alpes;8317
18/02/2018;84;Auvergne-Rhône-Alpes;9766
19/02/2018;84;Auvergne-Rhône-Alpes;13749
21/02/2018;84;Auvergne-Rhône-Alpes;14590
24/02/2018;84;Auvergne-Rhône-Alpes;12719
28/02/2018;84;Auvergne-Rhône-Alpes;18654
05/03/2018;84;Auvergne-Rhône-Alpes;12221
09/03/2018;84;Auvergne-Rhône-Alpes;10221
10/03/2018;84;Auvergne-Rhône-Alpes;7597
12/03/2018;84;Auvergne-Rhône-Alpes;8891
18/03/2018;84;Auvergne-Rhône-Alpes;8876
24/03/2018;84;Auvergne-Rhône-Alpes;10867
22/08/2019;84;Auvergne-Rhône-Alpes;2794
27/08/2019;84;Auvergne-Rhône-Alpes;3494
06/09/2019;84;Auvergne-Rhône-Alpes;4392
10/09/2019;84;Auvergne-Rhône-Alpes;4624
12/09/2019;84;Auvergne-Rhône-Alpes;3929
13/09/2019;84;Auvergne-Rhône-Alpes;3791
15/09/2019;84;Auvergne-Rhône-Alpes;2326
17/09/2019;84;Auvergne-Rhône-Alpes;4084
19/09/2019;84;Auvergne-Rhône-Alpes;4472
20/09/2019;84;Auvergne-Rhône-Alpes;4490
23/09/2019;84;Auvergne-Rhône-Alpes;4260
27/09/2019;84;Auvergne-Rhône-Alpes;3765
18/05/2021;84;Auvergne-Rhône-Alpes;6715
19/05/2021;84;Auvergne-Rhône-Alpes;6740
25/05/2021;84;Auvergne-Rhône-Alpes;6123
11/06/2021;84;Auvergne-Rhône-Alpes;3587
27/06/2021;84;Auvergne-Rhône-Alpes;2998
28/11/2022;84;Auvergne-Rhône-Alpes;9176
03/12/2022;84;Auvergne-Rhône-Alpes;9299
06/12/2022;84;Auvergne-Rhône-Alpes;13011
07/12/2022;84;Auvergne-Rhône-Alpes;12398
09/12/2022;84;Auvergne-Rhône-Alpes;12243
10/12/2022;84;Auvergne-Rhône-Alpes;10839
11/12/2022;84;Auvergne-Rhône-Alpes;11616
17/12/2022;84;Auvergne-Rhône-Alpes;11747
20/12/2022;84;Auvergne-Rhône-Alpes;7931
23/12/2022;84;Auvergne-Rhône-Alpes;6726
21/01/2023;84;Auvergne-Rhône-Alpes;11206
22/01/2023;84;Auvergne-Rhône-Alpes;11505
27/01/2023;84;Auvergne-Rhône-Alpes;13344
30/01/2023;84;Auvergne-Rhône-Alpes;13493
31/01/2023;84;Auvergne-Rhône-Alpes;12349
13/02/2023;84;Auvergne-Rhône-Alpes;2413
15/02/2023;84;Auvergne-Rhône-Alpes;11447
16/02/2023;84;Auvergne-Rhône-Alpes;11434
19/02/2023;84;Auvergne-Rhône-Alpes;6834
20/02/2023;84;Auvergne-Rhône-Alpes;10363
05/03/2019;84;Auvergne-Rhône-Alpes;10629
08/03/2019;84;Auvergne-Rhône-Alpes;10095
29/03/2019;84;Auvergne-Rhône-Alpes;10278
04/04/2019;84;Auvergne-Rhône-Alpes;11128
10/04/2019;84;Auvergne-Rhône-Alpes;8486
11/04/2019;84;Auvergne-Rhône-Alpes;7987
20/04/2019;84;Auvergne-Rhône-Alpes;4215
24/04/2019;84;Auvergne-Rhône-Alpes;4591
04/05/2019;84;Auvergne-Rhône-Alpes;5963
07/05/2019;84;Auvergne-Rhône-Alpes;9950
08/05/2019;84;Auvergne-Rhône-Alpes;5428
09/05/2019;84;Auvergne-Rhône-Alpes;7890
10/05/2019;84;Auvergne-Rhône-Alpes;7497
12/05/2019;84;Auvergne-Rhône-Alpes;5163
27/05/2019;84;Auvergne-Rhône-Alpes;3874
31/05/2019;84;Auvergne-Rhône-Alpes;3375
01/06/2019;84;Auvergne-Rhône-Alpes;2712
06/06/2019;84;Auvergne-Rhône-Alpes;3884
13/06/2019;84;Auvergne-Rhône-Alpes;4383
14/06/2019;84;Auvergne-Rhône-Alpes;4242
