NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196207;0.0;1;31;;0.0;1;;0;0;0;0;0;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196208;11.0;1;31;;11.0;1;6;1;1;1;0;0;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196209;44.6;1;30;;16.7;1;26;7;3;2;0;0;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196210;58.2;1;31;;27.0;1;26;5;3;2;0;0;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196211;101.8;1;30;;30.5;1;8;9;6;5;1;0;0;;;0;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196301;43.0;1;29;;17.7;1;11;7;4;1;0;0;0;;;0;;;;7.2;1;29;;15.2;1;19;-4.0;1;13;2;0;0;0;29;29;0;-1.9;1;29;;-11.2;1;23;8.2;1;3;11;2;29;29;29;0;0;14;9.1;1;17.1;1;23;29;2.7;1;29;;;0;;-6.0;1;13;9.8;1;10;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;1;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196303;;;0;;;;;;;;;;;;;0;;;;12.9;1;9;;15.2;1;29;10.1;1;31;0;0;0;0;9;9;0;3.3;1;9;;0.5;1;26;9.0;1;23;0;0;9;9;9;0;0;0;9.6;1;13.9;1;26;9;8.1;1;9;;;0;;7.0;1;31;10.0;1;23;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196304;59.2;1;30;;19.0;1;27;6;4;4;0;0;0;;;0;;;;16.8;1;30;;22.2;1;30;8.9;1;6;0;0;0;0;26;30;0;6.5;1;30;;-0.3;1;2;10.8;1;29;0;0;29;30;30;0;0;1;10.3;1;15.4;1;2;30;11.7;1;30;;;0;;6.9;1;7;16.2;1;29;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196305;37.3;1;31;;21.6;1;28;3;2;2;0;0;0;;;0;;;;21.4;1;31;;27.1;1;28;13.8;1;3;0;2;0;0;6;30;0;8.2;1;31;;3.7;1;24;14.1;1;30;0;0;24;31;31;0;0;0;13.2;1;17.4;1;24;31;14.8;1;31;;;0;;9.8;1;3;20.2;1;28;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
13001002;AIX-PUYRICARD;43.593333;5.413333;314;196306;66.1;1;30;;30.5;1;5;4;3;2;1;0;0;;;0;;;;23.7;1;30;;32.2;1;22;18.3;1;10;0;10;2;0;7;24;1;11.5;1;30;;7.3;1;15;14.3;1;27;0;0;3;30;30;0;0;0;12.2;1;19.2;1;22;30;17.6;1;30;;;0;;14.2;1;10;22.6;1;22;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
