NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196210;;;0;;;;;;;;;;;;;0;;;;17.5;1;31;;25.1;1;1;9.0;1;31;0;1;0;0;20;31;0;7.4;1;31;;1.9;1;26;14.5;1;5;0;0;25;31;31;0;0;0;10.1;1;17.4;1;26;31;12.4;1;31;;;0;;6.7;1;30;18.6;1;5;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196211;;;0;;;;;;;;;;;;;0;;;;8.8;1;30;;19.3;1;8;0.2;1;23;0;0;0;0;30;30;0;0.8;1;30;;-5.5;1;25;6.5;1;11;1;0;30;30;30;0;0;13;8.0;1;17.6;1;3;30;4.8;1;30;;;0;;-1.7;1;23;12.7;1;8;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196212;;;0;;;;;;;;;;;;;0;;;;2.9;1;31;;12.8;1;16;-5.5;1;27;6;0;0;0;31;31;0;-4.1;1;31;;-15.5;1;28;1.5;1;22;10;5;31;31;31;0;0;22;7.0;1;16.5;1;28;31;-0.6;1;31;;;0;;-9.6;1;25;6.9;1;16;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196301;;;0;;;;;;;;;;;;;0;;;;1.6;1;31;;13.2;1;3;-5.5;1;13;15;0;0;0;31;31;0;-5.5;1;31;;-15.5;1;24;4.5;1;11;19;8;31;31;31;0;0;24;7.1;1;13.0;1;24;31;-1.9;1;31;;;0;;-9.2;1;14;7.9;1;3;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196302;;;0;;;;;;;;;;;;;0;;;;3.8;1;28;;8.0;1;18;-5.0;1;2;5;0;0;0;28;28;0;-3.8;1;28;;-13.3;1;5;5.1;1;19;11;3;28;28;28;0;0;21;7.6;1;18.1;1;6;28;0.0;1;28;;;0;;-9.0;1;2;6.6;1;19;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196303;;;0;;;;;;;;;;;;;0;;;;12.8;1;31;;22.0;1;8;5.2;1;23;0;0;0;0;30;31;0;1.7;1;31;;-5.5;1;1;8.0;1;18;3;0;31;31;31;0;0;12;11.1;1;24.0;1;8;31;7.2;1;31;;;0;;1.2;1;1;11.6;1;15;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196304;;;0;;;;;;;;;;;;;0;;;;18.3;1;30;;24.6;1;30;5.7;1;7;0;0;0;0;19;30;0;6.1;1;30;;-0.5;1;3;12.3;1;21;0;0;28;30;30;0;0;1;12.2;1;19.9;1;15;30;12.2;1;30;;;0;;4.0;1;7;16.7;1;10;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196305;;;0;;;;;;;;;;;;;0;;;;21.3;1;31;;27.6;1;28;12.0;1;3;0;10;0;0;10;28;0;7.4;1;31;;1.0;1;5;12.9;1;30;0;0;27;31;31;0;0;0;13.9;1;22.8;1;21;31;14.4;1;31;;;0;;8.8;1;3;19.8;1;30;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196306;;;0;;;;;;;;;;;;;0;;;;24.0;1;30;;33.5;1;22;16.7;1;15;0;11;2;0;5;26;1;12.2;1;30;;8.2;1;5;17.5;1;28;0;0;5;26;30;0;0;0;11.7;1;19.6;1;21;30;18.1;1;30;;;0;;13.6;1;15;23.8;1;22;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
38126001;CORENC LA REVIREE;45.220000;5.765000;227;196307;;;0;;;;;;;;;;;;;0;;;;28.3;1;31;;32.5;1;24;22.0;1;13;0;28;10;0;0;7;2;14.1;1;31;;9.9;1;12;18.6;1;21;0;0;2;21;31;0;0;0;14.2;1;18.6;1;16;31;21.2;1;31;;;0;;16.6;1;13;24.8;1;21;;;;0;;;;0;;;0;;;0;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;0;;;0;;;;;;0;;;0;;;0;;;;;;0;;;;;;;;;;;;;;;;
