NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69029001;LYON-BRON;45.721333;4.949167;202;195001;55.0;24.4;7;3;2;0;0;0;4.8;13.7;-1.9;4;0;0;0;31;31;0;-0.7;-10.0;7.8;4;1;31;31;31;0;0;17;5.4;16.8;2.1;-4.5;10.8
69029001;LYON-BRON;45.721333;4.949167;202;195002;88.0;28.3;12;5;4;0;0;0;10.7;18.8;2.2;0;0;0;0;28;28;0;2.3;-2.6;9.0;0;0;28;28;28;0;0;10;8.4;21.2;6.5;0.1;10.4
69029001;LYON-BRON;45.721333;4.949167;202;195003;29.4;14.7;5;2;1;0;0;0;13.7;19.1;2.6;0;0;0;0;31;31;0;2.4;-4.1;9.6;0;0;31;31;31;0;0;8;11.3;18.6;8.0;-0.6;13.2
69029001;LYON-BRON;45.721333;4.949167;202;195004;70.8;10.7;13;6;1;0;0;0;14.2;24.4;9.7;0;0;0;0;26;30;0;4.8;-0.5;9.4;0;0;30;30;30;0;0;2;9.4;19.6;9.5;5.5;16.3
69029001;LYON-BRON;45.721333;4.949167;202;195005;82.4;29.4;7;5;3;0;0;0;22.5;29.0;16.1;0;9;0;0;10;30;0;10.5;5.4;17.8;0;0;14;28;31;0;0;0;12.0;18.0;16.5;11.8;23.4
69029001;LYON-BRON;45.721333;4.949167;202;195006;60.8;28.5;6;4;2;0;0;0;27.5;36.2;21.0;0;22;10;2;0;15;2;14.5;10.6;18.0;0;0;0;18;30;0;0;0;13.0;18.4;21.0;16.9;27.1
69029001;LYON-BRON;45.721333;4.949167;202;195007;32.3;15.4;6;2;1;0;0;0;30.0;37.6;24.3;0;28;15;6;0;10;10;17.0;12.6;22.0;0;0;0;8;27;5;0;0;12.9;20.7;23.5;19.0;28.7
69029001;LYON-BRON;45.721333;4.949167;202;195008;89.5;36.2;7;6;5;1;0;0;28.2;34.0;21.6;0;22;12;0;0;12;7;15.6;9.6;22.6;0;0;2;11;30;1;0;0;12.6;20.2;21.9;17.2;28.3
69029001;LYON-BRON;45.721333;4.949167;202;195009;66.1;15.1;7;6;3;0;0;0;21.5;30.1;13.0;0;6;1;0;11;27;0;11.3;2.4;18.4;0;0;11;24;30;0;0;0;10.2;18.6;16.4;9.3;21.6
69029001;LYON-BRON;45.721333;4.949167;202;195010;29.4;9.6;5;3;0;0;0;0;16.8;23.0;4.3;0;0;0;0;23;31;0;7.4;-4.5;14.6;0;0;19;31;31;0;0;3;9.4;16.8;12.1;2.9;16.7
69029001;LYON-BRON;45.721333;4.949167;202;195011;182.8;80.6;19;9;4;1;1;0;11.5;16.7;5.1;0;0;0;0;30;30;0;4.7;-4.2;11.4;0;0;29;30;30;0;0;3;6.8;15.9;8.1;2.5;14.1
69029001;LYON-BRON;45.721333;4.949167;202;195012;38.4;8.0;10;2;0;0;0;0;2.9;12.4;-2.7;9;0;0;0;31;31;0;-1.9;-11.6;7.7;3;1;31;31;31;0;0;25;4.8;14.6;0.5;-4.3;10.1
69029001;LYON-BRON;45.721333;4.949167;202;195101;43.0;11.7;8;3;1;0;0;0;7.3;12.6;2.6;0;0;0;0;31;31;0;1.0;-3.3;6.0;0;0;31;31;31;0;0;15;6.3;13.7;4.2;0.1;8.6
