NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69008001;ANCY_SAPC;45.843333;4.508167;626;201811;52.6;29.6;4;2;2;0;0;0;7.2;14.4;3.4;0;0;0;0;10;10;0;1.5;-1.9;3.5;0;0;10;10;10;0;0;1;5.8;12.1;4.3;0.8;8.4
69008001;ANCY_SAPC;45.843333;4.508167;626;201812;0.0;0.0;0;0;0;0;0;0;4.2;5.7;1.1;0;0;0;0;5;5;0;-1.4;-3.8;0.2;0;0;5;5;5;0;0;4;5.7;9.5;1.4;0.0;2.4
69008001;ANCY_SAPC;45.843333;4.508167;626;201901;32.8;7.4;10;2;0;0;0;0;3.3;10.3;-2.7;2;0;0;0;31;31;0;-1.6;-6.3;2.7;1;0;31;31;31;0;0;25;4.9;11.6;0.8;-3.5;4.9
69008001;ANCY_SAPC;45.843333;4.508167;626;201902;24.4;11.0;4;2;1;0;0;0;10.7;18.3;-0.4;1;0;0;0;28;28;0;2.8;-4.6;7.9;0;0;28;28;28;0;0;7;7.9;10.5;6.8;-0.9;13.1
69008001;ANCY_SAPC;45.843333;4.508167;626;201903;38.6;16.0;6;2;1;0;0;0;12.9;18.9;7.0;0;0;0;0;31;31;0;4.2;-0.5;10.1;0;0;30;31;31;0;0;3;8.7;14.5;8.5;4.4;13.8
69008001;ANCY_SAPC;45.843333;4.508167;626;201904;74.4;46.4;9;2;1;1;0;0;14.6;23.0;5.3;0;0;0;0;23;30;0;5.4;-2.1;11.7;0;0;24;30;30;0;0;4;9.2;17.0;10.0;3.1;17.2
69008001;ANCY_SAPC;45.843333;4.508167;626;201905;31.0;17.0;7;1;1;0;0;0;16.5;24.2;8.3;0;0;0;0;25;31;0;7.2;0.0;13.6;0;0;26;31;31;0;0;1;9.3;14.0;11.9;4.4;18.5
69008001;ANCY_SAPC;45.843333;4.508167;626;201906;91.9;29.4;9;7;3;0;0;0;25.7;34.9;13.9;0;17;8;0;7;17;6;14.3;6.2;24.0;0;0;6;18;26;4;0;0;11.4;16.6;20.0;11.7;28.8
69008001;ANCY_SAPC;45.843333;4.508167;626;201907;70.0;34.4;5;4;3;1;0;0;28.4;37.2;21.1;0;23;9;3;0;11;7;16.9;12.1;24.3;0;0;0;8;26;6;0;0;11.4;14.7;22.6;17.0;30.8
69008001;ANCY_SAPC;45.843333;4.508167;626;201908;135.4;56.6;8;5;4;1;1;0;25.9;33.7;15.1;0;18;6;0;3;17;1;15.7;10.0;20.6;0;0;1;14;29;2;0;0;10.2;14.2;20.8;13.8;27.1
69008001;ANCY_SAPC;45.843333;4.508167;626;201909;20.0;11.8;3;1;1;0;0;0;21.9;29.0;14.9;0;9;0;0;9;27;0;12.3;7.6;19.5;0;0;7;25;30;0;0;0;9.6;15.5;17.1;11.5;24.1
69008001;ANCY_SAPC;45.843333;4.508167;626;201910;135.2;35.0;17;6;4;1;0;0;16.9;24.3;12.1;0;0;0;0;23;31;0;10.2;4.3;15.6;0;0;15;30;31;0;0;0;6.8;14.5;13.6;9.0;19.6
69008001;ANCY_SAPC;45.843333;4.508167;626;201911;84.6;27.0;11;5;2;0;0;0;9.3;17.7;4.0;0;0;0;0;30;30;0;3.7;-1.6;12.1;0;0;29;30;30;0;0;6;5.6;9.9;6.5;2.0;14.9
69008001;ANCY_SAPC;45.843333;4.508167;626;201912;85.6;13.4;15;9;1;0;0;0;9.2;15.8;1.1;0;0;0;0;31;31;0;3.4;-3.4;11.7;0;0;30;31;31;0;0;7;5.8;10.5;6.3;-1.1;13.4
69008001;ANCY_SAPC;45.843333;4.508167;626;202001;30.2;7.2;9;2;0;0;0;0;8.3;14.5;2.9;0;0;0;0;31;31;0;2.0;-2.9;8.0;0;0;31;31;31;0;0;9;6.3;10.6;5.1;0.7;11.3
69008001;ANCY_SAPC;45.843333;4.508167;626;202002;29.8;5.0;10;1;0;0;0;0;11.5;19.0;4.6;0;0;0;0;29;29;0;3.8;-2.6;12.3;0;0;28;29;29;0;0;3;7.7;13.1;7.6;1.3;14.7
69008001;ANCY_SAPC;45.843333;4.508167;626;202003;33.6;13.6;8;2;1;0;0;0;11.8;19.6;4.3;0;0;0;0;31;31;0;3.4;-2.7;10.8;0;0;30;31;31;0;0;7;8.4;13.7;7.6;1.9;15.1
69008001;ANCY_SAPC;45.843333;4.508167;626;202004;39.3;11.0;7;3;1;0;0;0;19.5;24.0;12.7;0;0;0;0;13;30;0;8.7;0.0;12.9;0;0;15;30;30;0;0;1;10.8;21.0;14.1;6.7;18.2
69008001;ANCY_SAPC;45.843333;4.508167;626;202005;65.6;22.0;7;5;2;0;0;0;20.2;28.6;8.6;0;3;0;0;13;30;0;10.0;2.8;17.0;0;0;16;30;31;0;0;0;10.2;13.7;15.1;5.7;22.8
69008001;ANCY_SAPC;45.843333;4.508167;626;202006;91.7;58.5;8;4;1;1;1;0;22.6;31.6;12.5;0;10;2;0;8;26;0;12.7;8.3;20.8;0;0;7;24;29;1;0;0;9.9;14.7;17.7;10.7;26.1
69008001;ANCY_SAPC;45.843333;4.508167;626;202007;10.8;5.2;2;1;0;0;0;0;27.8;39.6;18.6;0;23;7;3;1;12;5;16.2;11.2;23.6;0;0;0;10;29;2;0;0;11.7;18.5;22.0;15.9;31.6
69008001;ANCY_SAPC;45.843333;4.508167;626;202008;70.8;29.0;6;5;4;0;0;0;27.6;36.4;17.2;0;18;12;3;3;15;9;16.5;10.2;23.9;0;0;0;10;26;5;0;0;11.1;16.9;22.0;13.7;30.2
69008001;ANCY_SAPC;45.843333;4.508167;626;202009;62.1;16.3;9;7;1;0;0;0;22.8;32.8;8.3;0;13;4;0;10;19;1;13.5;3.8;20.7;0;0;8;17;28;2;0;0;9.4;15.9;18.2;6.1;25.9
69008001;ANCY_SAPC;45.843333;4.508167;626;202010;93.5;41.7;12;3;2;1;0;0;13.6;19.2;6.1;0;0;0;0;31;31;0;7.6;2.1;14.0;0;0;26;31;31;0;0;0;6.0;10.1;10.6;4.1;15.5
69008001;ANCY_SAPC;45.843333;4.508167;626;202011;13.4;7.4;2;1;0;0;0;0;12.3;21.1;-0.1;1;0;0;0;29;30;0;5.6;-2.0;14.7;0;0;27;30;30;0;0;4;6.7;10.4;9.0;-0.6;17.2
69008001;ANCY_SAPC;45.843333;4.508167;626;202012;89.4;15.4;18;6;4;0;0;0;7.1;17.1;0.4;0;0;0;0;31;31;0;1.9;-3.8;10.9;0;0;30;31;31;0;0;12;5.2;11.1;4.5;-1.0;12.4
69008001;ANCY_SAPC;45.843333;4.508167;626;202101;68.4;10.8;14;7;2;0;0;0;3.8;12.4;-2.7;9;0;0;0;31;31;0;-0.9;-7.4;8.0;2;0;31;31;31;0;0;21;4.7;11.6;1.5;-4.3;9.3
69008001;ANCY_SAPC;45.843333;4.508167;626;202102;35.0;7.4;7;4;0;0;0;0;10.6;19.9;-3.1;3;0;0;0;28;28;0;3.1;-8.4;8.8;3;0;28;28;28;0;0;7;7.4;12.9;6.8;-5.4;13.5
69008001;ANCY_SAPC;45.843333;4.508167;626;202103;37.8;8.0;7;4;0;0;0;0;11.4;23.8;3.5;0;0;0;0;28;31;0;2.9;-2.5;12.5;0;0;30;31;31;0;0;8;8.6;14.2;7.2;1.2;18.2
69008001;ANCY_SAPC;45.843333;4.508167;626;202104;53.8;17.6;5;4;2;0;0;0;13.5;23.2;3.8;0;0;0;0;26;30;0;4.1;-3.9;12.1;0;0;26;30;30;0;0;9;9.4;14.7;8.8;0.5;17.7
69008001;ANCY_SAPC;45.843333;4.508167;626;202105;131.4;65.0;15;6;4;1;1;0;16.7;26.1;7.5;0;1;0;0;24;31;0;7.3;4.1;12.5;0;0;27;31;31;0;0;0;9.3;16.8;12.0;6.5;18.8
