année,NUM_POSTE,LAT,LON,ALTI,RR,RRAB,NBJRR1,NBJRR5,NBJRR10,NBJRR30,NBJRR50,NBJRR100,TX,TXAB,TXMIN,NBJTX0,NBJTX25,NBJTX30,NBJTX35,NBJTXI20,NBJTXI27,NBJTXS32,TN,TNAB,TNMAX,NBJTN5,NBJTN10,NBJTNI10,NBJTNI15,NBJTNI20,NBJTNS20,NBJTNS25,NBJGELEE,TAMPLIM,TAMPLIAB,TM,TMMIN,TMMAX
1950,69148945.12676056,45.879981366197185,4.681370915492958,329.9718309859155,66.32957746478873,25.345774647887325,8.316901408450704,4.056338028169014,1.880281690140845,0.2605633802816901,0.13380281690140844,0.0,16.513380281690143,24.03943661971831,8.76549295774648,1.528169014084507,7.119718309859155,2.795774647887324,0.6056338028169014,19.049295774647888,25.640845070422536,1.5774647887323943,6.6070422535211275,0.02112676056338027,12.959154929577466,1.4788732394366197,0.13380281690140844,19.943661971830984,26.908450704225352,30.197183098591548,0.31690140845070425,0.0,6.133802816901408,9.906338028169014,16.72887323943662,11.555633802816901,5.24718309859155,17.715492957746477
1951,69149193.52980132,45.87490522516556,4.6892936622516554,336.19867549668874,81.81920529801324,25.64105960264901,9.350993377483444,4.8344370860927155,2.5099337748344372,0.423841059602649,0.07947019867549669,0.0,15.333112582781458,22.20794701986755,7.994039735099337,0.15894039735099338,4.145695364238411,0.7218543046357616,0.0,21.158940397350992,27.794701986754966,0.1456953642384106,6.496688741721854,1.166225165562914,12.370860927152318,0.4105960264900662,0.0,20.920529801324502,28.278145695364238,30.264900662251655,0.033112582781456956,0.0,4.8344370860927155,8.833112582781457,15.343046357615895,10.91456953642384,5.578145695364238,16.629139072847682
1952,69146989.97701149,45.88358631034483,4.679137977011495,340.98850574712645,69.68275862068965,18.4316091954023,9.833333333333334,4.948275862068965,2.160919540229885,0.13793103448275862,0.011494252873563218,0.0,16.410919540229884,23.57816091954023,9.296551724137931,0.8448275862068966,6.551724137931035,2.7701149425287355,0.6896551724137931,19.32758620689655,25.982758620689655,1.7298850574712643,6.5201149425287355,-0.15632183908045974,12.62471264367816,1.396551724137931,0.10344827586206896,20.655172413793103,27.25287356321839,30.00574712643678,0.4942528735632184,0.005747126436781609,6.580459770114943,9.89080459770115,16.54597701149425,11.46551724137931,5.592528735632184,17.395977011494253
1953,69147251.51219513,45.87809967073171,4.680550835365853,351.7621951219512,49.80670731707317,15.84390243902439,6.414634146341464,3.0548780487804876,1.670731707317073,0.16463414634146342,0.024390243902439025,0.0,15.821951219512195,23.4359756097561,8.132317073170732,1.603658536585366,5.475609756097561,1.6341463414634145,0.006097560975609756,19.49390243902439,26.774390243902438,0.6829268292682927,6.1640243902439025,-0.15060975609756103,12.347560975609756,1.524390243902439,0.10365853658536585,20.036585365853657,27.390243902439025,30.23170731707317,0.018292682926829267,0.0,6.512195121951219,9.65731707317073,16.73658536585366,10.99329268292683,5.014024390243902,17.11280487804878
1954,69148847.6923077,45.87838469230769,4.683,357.7692307692308,67.46730769230768,21.73974358974359,8.685897435897436,4.032051282051282,2.019230769230769,0.22435897435897437,0.09615384615384616,0.0,15.2,22.960256410256413,6.573717948717949,1.4679487179487178,4.333333333333333,1.1025641025641026,0.019230769230769232,21.141025641025642,27.82051282051282,0.5,6.0070512820512825,-0.21730769230769234,12.20897435897436,1.4487179487179487,0.5641025641025641,21.57051282051282,28.83974358974359,30.403846153846153,0.02564102564102564,0.0,4.75,9.190384615384616,16.04423076923077,10.60448717948718,4.269871794871795,16.847435897435897
1955,69148847.6923077,45.87838469230769,4.683,357.7692307692308,66.58910256410256,19.868589743589745,8.378205128205128,4.346153846153846,2.1474358974358974,0.21153846153846154,0.0641025641025641,0.0,15.808333333333334,23.56153846153846,8.263461538461538,0.3974358974358974,5.134615384615385,0.5448717948717948,0.00641025641025641,19.865384615384617,28.076923076923077,0.11538461538461539,6.271153846153846,-0.5762820512820513,12.831410256410257,1.0256410256410255,0.00641025641025641,20.66025641025641,27.96794871794872,30.41025641025641,0.019230769230769232,0.0,6.083333333333333,9.533333333333333,15.806410256410258,11.037820512820513,4.608333333333333,17.546794871794873
1956,69148103.44585988,45.87817205095541,4.68237049044586,357.2738853503185,81.04394904458599,25.6828025477707,8.94267515923567,4.643312101910828,2.4713375796178343,0.4713375796178344,0.11464968152866242,0.0,13.904458598726114,21.75859872611465,5.5662420382165605,2.038216560509554,3.4140127388535033,0.40764331210191085,0.0,21.24203821656051,29.21656050955414,0.1337579617834395,5.028662420382165,-1.0936305732484077,10.963694267515923,2.7643312101910826,1.1656050955414012,21.445859872611464,29.49044585987261,30.496815286624205,0.0,0.0,7.012738853503185,8.873885350318472,15.687261146496816,9.468789808917197,3.0101910828025478,15.79235668789809
1957,69145218.91304348,45.87734790062112,4.679930652173913,355.35403726708074,52.57950310559006,18.78447204968944,6.950310559006211,3.372670807453416,1.5838509316770186,0.17391304347826086,0.018633540372670808,0.0,15.870186335403726,23.798757763975154,8.224223602484471,0.7515527950310559,4.080745341614906,1.4161490683229814,0.06832298136645963,20.366459627329192,27.96894409937888,0.6583850931677019,6.1695652173913045,0.009316770186335453,12.690062111801241,1.0745341614906831,0.19254658385093168,22.043478260869566,28.490683229813666,30.341614906832298,0.13043478260869565,0.0,5.304347826086956,9.694409937888198,16.335403726708076,11.01552795031056,4.8329192546583855,17.599378881987576
1958,69142184.90506329,45.88261401898734,4.6662267974683544,356.2151898734177,80.60696202531645,27.406962025316457,9.670886075949367,4.7215189873417724,2.2911392405063293,0.35443037974683544,0.0949367088607595,0.02531645569620253,14.935443037974684,22.963291139240503,7.330379746835443,0.6518987341772152,4.658227848101266,0.8354430379746836,0.05063291139240506,20.341772151898734,27.78481012658228,0.3291139240506329,6.218987341772152,-0.10379746835443035,12.623417721518987,1.2088607594936709,0.0189873417721519,21.0126582278481,27.943037974683545,30.341772151898734,0.10126582278481013,0.0,5.746835443037975,8.715822784810126,15.673417721518987,10.579113924050633,4.488607594936709,17.15
1959,69135723.05347593,45.85568990374331,4.662906454545455,343.71122994652404,54.518716577540104,18.783957219251338,7.385026737967914,3.4705882352941178,1.6844919786096257,0.1711229946524064,0.0106951871657754,0.0,17.233155080213905,23.351336898395722,9.3427807486631,0.20855614973262032,6.775401069518717,1.9251336898395721,0.11764705882352941,17.796791443850267,26.165775401069517,0.8556149732620321,6.810160427807487,0.9053475935828876,12.650267379679144,0.6631016042780749,0.0106951871657754,20.149732620320854,27.497326203208555,30.197860962566846,0.17647058823529413,0.0,4.737967914438503,10.423529411764706,17.159358288770054,12.022459893048127,6.310695187165775,17.20855614973262
