NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;QRR;NBRR;RR_ME;RRAB;QRRAB;RRABDAT;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;PMERM;QPMERM;NBPMERM;PMERMINAB;QPMERMINAB;PMERMINABDAT;TX;QTX;NBTX;TX_ME;TXAB;QTXAB;TXDAT;TXMIN;QTXMIN;TXMINDAT;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;QTN;NBTN;TN_ME;TNAB;QTNAB;TNDAT;TNMAX;QTNMAX;TNMAXDAT;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;QTAMPLIM;TAMPLIAB;QTAMPLIAB;TAMPLIABDAT;NBTAMPLI;TM;QTM;NBTM;TMM;QTMM;NBTMM;NBJTMS24;TMMIN;QTMMIN;TMMINDAT;TMMAX;QTMMAX;TMMAXDAT;UNAB;QUNAB;UNABDAT;NBUN;UXAB;QUXAB;UXABDAT;NBUX;UMM;QUMM;NBUM;TSVM;QTSVM;NBTSVM;ETP;QETP;FXIAB;QFXIAB;DXIAB;QDXIAB;FXIDAT;NBJFF10;NBJFF16;NBJFF28;NBFXI;FXI3SAB;QFXI3SAB;DXI3SAB;QDXI3SAB;FXI3SDAT;NBJFXI3S10;NBJFXI3S16;NBJFXI3S28;NBFXI3S;FXYAB;QFXYAB;DXYAB;QDXYAB;FXYABDAT;NBJFXY8;NBJFXY10;NBJFXY15;NBFXY;FFM;QFFM;NBFFM;INST;QINST;NBINST;NBSIGMA0;NBSIGMA20;NBSIGMA80;GLOT;QGLOT;NBGLOT;DIFT;QDIFT;NBDIFT;DIRT;QDIRT;NBDIRT;HNEIGEFTOT;QHNEIGEFTOT;HNEIGEFAB;QHNEIGEFAB;HNEIGEFDAT;NBHNEIGEF;NBJNEIG;NBJHNEIGEF1;NBJHNEIGEF5;NBJHNEIGEF10;NBJSOLNG;NEIGETOTM;QNEIGETOTM;NEIGETOTAB;QNEIGETOTAB;NEIGETOTABDAT;NBJNEIGETOT1;NBJNEIGETOT10;NBJNEIGETOT30;NBJGREL;NBJORAG;NBJBROU
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195001;23.9;1;31;;9.4;1;2;4;2;0;0;0;0;1023.4;1;31;1012.5;1;5;2.9;1;31;;9.0;1;7;-4.2;1;19;9;0;0;0;31;31;0;-2.5;1;31;;-10.4;1;25;5.1;1;11;10;1;31;31;31;0;0;20;5.4;1;10.8;1;25;31;0.2;1;31;-0.1;1;31;0;-6.0;1;24;7.1;1;11;50;1;22;31;100;1;17;31;85;1;31;5.4;1;31;9.5;1;17.0;1;;;28;14;5;0;31;;;;;;;;;0;;;;;;;;;0;3.1;1;31;3102;1;31;0;21;1;;;0;;;0;;;0;;;;;;0;4;;;;;0;9;0;9;;0;0;0;0;0;7
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195002;39.8;1;28;;6.0;1;8;15;2;0;0;0;0;1014.9;1;27;994.5;1;26;9.4;1;28;;16.0;1;19;0.6;1;27;0;0;0;0;28;28;0;1.2;1;28;;-4.7;1;23;6.9;1;24;0;0;28;28;28;0;0;10;8.3;1;18.7;1;18;28;5.3;1;28;4.7;1;27;0;-1.1;1;28;9.5;1;16;42;1;13;28;100;1;23;28;80;1;27;6.9;1;27;27.5;1;30.0;1;;;11;20;14;2;28;;;;;;;;;0;;;;;;;;;0;4.0;1;27;3258;1;28;0;21;3;;;0;;;0;;;0;;;;;;0;4;;;;;0;9;1;9;27;1;0;0;1;1;4
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195003;8.5;1;31;;2.5;1;10;4;0;0;0;0;0;1021.8;1;29;1012.2;1;29;12.7;1;31;;19.5;1;17;1.4;1;2;0;0;0;0;31;31;0;1.3;1;31;;-5.5;1;1;7.1;1;21;2;0;31;31;31;0;0;8;11.4;1;20.1;1;8;31;7.0;1;31;6.8;1;29;0;-1.9;1;2;11.9;1;17;37;1;28;31;100;1;22;31;74;1;28;7.3;1;29;48.3;1;23.0;1;;;17;17;3;0;31;;;;;;;;;0;;;;;;;;;0;2.3;1;29;12000;1;31;0;5;11;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;0;0;5
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195004;40.6;1;30;;10.3;1;15;11;2;1;0;0;0;1010.8;1;30;998.1;1;3;13.0;1;30;;24.8;1;8;7.0;1;15;0;0;0;0;28;30;0;4.1;1;30;;-2.2;1;1;10.6;1;22;0;0;29;30;30;0;0;4;8.9;1;24.2;1;8;30;8.6;1;30;8.3;1;30;0;4.4;1;1;15.0;1;30;19;1;8;30;99;1;12;30;75;1;30;8.1;1;30;66.8;1;35.0;1;;;2;22;10;1;30;;;;;;;;;0;;;;;;;;;0;3.6;1;30;6990;1;30;0;11;1;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;0;1;0
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195005;88.0;1;31;;16.9;1;2;12;7;3;0;0;0;1016.3;1;29;1004.6;1;18;21.1;1;31;;28.0;1;20;13.2;1;5;0;4;0;0;12;30;0;9.5;1;31;;2.2;1;6;16.2;1;22;0;0;19;30;31;0;0;0;11.7;1;20.6;1;1;31;15.3;1;31;15.2;1;29;0;10.0;1;6;20.1;1;22;33;1;12;31;100;1;18;31;75;1;28;12.7;1;29;113.7;1;22.0;1;;;31;16;7;0;31;;;;;;;;;0;;;;;;;;;0;2.6;1;29;14250;1;31;0;5;8;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;0;3;0
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195006;67.0;1;30;;11.9;1;21;9;7;1;0;0;0;1017.8;1;26;1009.7;1;21;25.9;1;30;;35.2;1;30;19.1;1;21;0;17;5;1;1;20;1;12.4;1;30;;8.8;1;11;17.6;1;30;0;0;5;29;30;0;0;0;13.4;1;20.9;1;7;30;19.2;1;30;19.2;1;26;1;16.1;1;24;26.4;1;30;22;1;7;30;98;1;29;30;73;1;25;15.8;1;26;136.5;1;40.0;1;;;13;17;8;2;30;;;;;;;;;0;;;;;;;;;0;2.2;1;26;16368;1;30;0;3;0;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;1;8;0
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195007;74.6;1;31;;22.4;1;28;9;4;3;0;0;0;1016.1;1;29;1010.2;1;23;27.1;1;31;;34.8;1;4;23.0;1;12;0;19;5;0;0;18;3;14.8;1;31;;9.8;1;16;20.6;1;5;0;0;1;16;30;1;0;0;12.3;1;20.4;1;9;31;20.9;1;31;20.7;1;29;4;17.5;1;12;26.3;1;4;30;1;22;31;99;1;29;31;71;1;28;17.0;1;29;136.7;1;21.0;1;;;14;17;7;0;31;;;;;;;;;0;;;;;;;;;0;2.0;1;29;14562;1;31;0;3;1;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;0;7;2
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195008;125.5;1;31;;27.9;1;28;11;7;6;0;0;0;1015.1;1;31;1007.6;1;17;25.2;1;31;;33.6;1;23;18.3;1;3;0;15;4;0;2;22;1;12.9;1;31;;7.0;1;19;17.0;1;24;0;0;5;22;31;0;0;0;12.3;1;21.0;1;21;31;19.1;1;31;18.5;1;31;0;15.1;1;19;24.0;1;23;37;1;21;31;100;1;28;31;78;1;31;16.3;1;31;107.8;1;40.0;1;;;2;17;6;1;31;;;;;;;;;0;;;;;;;;;0;2.1;1;31;13674;1;31;1;6;3;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;1;9;2
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195009;57.0;1;30;;9.8;1;15;13;4;0;0;0;0;1016.3;1;29;1006.8;1;15;18.8;1;30;;27.1;1;14;13.8;1;23;0;2;0;0;21;29;0;10.7;1;30;;3.6;1;17;16.2;1;10;0;0;12;27;30;0;0;0;8.1;1;17.5;1;14;30;14.8;1;30;14.6;1;29;0;10.4;1;28;19.7;1;10;32;1;25;30;100;1;30;30;83;1;29;13.8;1;29;53.8;1;26.0;1;;;25;17;5;0;30;;;;;;;;;0;;;;;;;;;0;2.2;1;29;6408;1;30;6;14;2;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;0;2;4
67124001;STRASBOURG-ENTZHEIM;48.549500;7.640333;150;195010;11.8;1;31;;6.3;1;8;4;1;0;0;0;0;1021.2;1;30;1011.4;1;1;14.1;1;31;;22.0;1;7;4.8;1;26;0;0;0;0;28;31;0;5.0;1;31;;-7.6;1;31;13.4;1;8;2;0;23;31;31;0;0;4;9.1;1;18.8;1;14;31;9.5;1;31;8.5;1;30;0;-0.9;1;31;15.8;1;17;42;1;29;31;100;1;28;31;87;1;29;10.1;1;30;25.7;1;25.0;1;;;1;10;1;0;31;;;;;;;;;0;;;;;;;;;0;1.2;1;30;6528;1;31;4;13;2;;;0;;;0;;;0;;;;;;0;0;;;;;0;9;0;9;;0;0;0;0;0;14
