Date;Température;Humidité;Nebulosité totale;EPCI (name)
2010-01-05T16:00:00+01:00;274.85;78;75.0;Métropole Européenne de Lille
2010-01-05T22:00:00+01:00;276.65;91;60.0;Métropole d'Aix-Marseille-Provence
2010-01-07T16:00:00+01:00;279.75;50;90.0;Métropole d'Aix-Marseille-Provence
2010-01-07T22:00:00+01:00;266.05;88;25.0;Métropole Européenne de Lille
2010-01-08T13:00:00+01:00;269.85;83;100.0;Métropole Européenne de Lille
2010-01-06T19:00:00+01:00;269.95;77;100.0;Métropole Européenne de Lille
2010-01-07T01:00:00+01:00;274.35;97;90.0;Bordeaux Métropole
2010-01-04T07:00:00+01:00;266.55;91;60.0;Métropole Européenne de Lille
2010-01-04T19:00:00+01:00;276.35;84;100.0;Bordeaux Métropole
2010-01-04T19:00:00+01:00;280.25;82;100.0;Métropole d'Aix-Marseille-Provence
2010-01-05T01:00:00+01:00;269.25;78;100.0;Eurométropole de Strasbourg
2010-03-02T22:00:00+01:00;284.75;59;90.0;Bordeaux Métropole
2010-03-01T10:00:00+01:00;281.55;78;100.0;Bordeaux Métropole
2010-02-28T07:00:00+01:00;282.85;82;75.0;Bordeaux Métropole
2010-02-23T22:00:00+01:00;281.75;85;;Eurométropole de Strasbourg
2010-02-24T07:00:00+01:00;283.85;79;90.0;Bordeaux Métropole
2010-02-25T01:00:00+01:00;282.65;92;90.0;Métropole d'Aix-Marseille-Provence
2010-02-25T16:00:00+01:00;281.95;87;100.0;Métropole Européenne de Lille
2010-02-27T16:00:00+01:00;285.05;52;90.0;Métropole Européenne de Lille
2010-04-12T23:00:00+02:00;283.45;52;0.0;Bordeaux Métropole
2010-04-13T14:00:00+02:00;288.95;52;50.0;Métropole Européenne de Lille
2010-04-13T14:00:00+02:00;285.95;52;90.0;Bordeaux Métropole
2010-04-08T05:00:00+02:00;279.55;97;0.0;Bordeaux Métropole
2010-04-10T20:00:00+02:00;292.95;45;0.0;Bordeaux Métropole
2010-04-09T17:00:00+02:00;289.95;38;40.0;Eurométropole de Strasbourg
2010-04-09T23:00:00+02:00;284.05;56;;Eurométropole de Strasbourg
2010-04-09T05:00:00+02:00;280.75;90;0.0;Bordeaux Métropole
2010-04-30T14:00:00+02:00;287.45;55;90.0;Métropole Européenne de Lille
2010-04-30T17:00:00+02:00;290.55;68;90.0;Bordeaux Métropole
2010-04-28T14:00:00+02:00;299.95;22;60.0;Bordeaux Métropole
2010-04-28T20:00:00+02:00;294.45;47;0.0;Métropole d'Aix-Marseille-Provence
2010-04-28T23:00:00+02:00;289.65;55;90.0;Métropole Européenne de Lille
2010-04-29T20:00:00+02:00;298.25;34;;Eurométropole de Strasbourg
2010-04-26T02:00:00+02:00;282.65;92;0.0;Métropole Européenne de Lille
2010-04-26T11:00:00+02:00;294.55;59;40.0;Métropole d'Aix-Marseille-Provence
2010-04-24T20:00:00+02:00;293.95;53;75.0;Bordeaux Métropole
2010-04-25T17:00:00+02:00;298.15;24;75.0;Eurométropole de Strasbourg
2010-05-08T17:00:00+02:00;283.85;75;90.0;Métropole Européenne de Lille
2010-05-09T05:00:00+02:00;286.75;80;90.0;Bordeaux Métropole
2010-05-09T20:00:00+02:00;291.05;66;90.0;Métropole d'Aix-Marseille-Provence
2010-05-11T02:00:00+02:00;282.05;95;90.0;Eurométropole de Strasbourg
2010-05-08T02:00:00+02:00;283.55;91;100.0;Bordeaux Métropole
2010-05-12T02:00:00+02:00;278.55;95;100.0;Métropole Européenne de Lille
2010-05-14T23:00:00+02:00;282.35;60;40.0;Métropole Européenne de Lille
2010-02-17T10:00:00+01:00;279.15;97;100.0;Bordeaux Métropole
2010-02-17T19:00:00+01:00;275.15;88;100.0;Métropole Européenne de Lille
2010-02-17T22:00:00+01:00;283.35;83;90.0;Métropole d'Aix-Marseille-Provence
2010-02-18T01:00:00+01:00;278.05;97;10.0;Bordeaux Métropole
2010-02-15T04:00:00+01:00;270.75;94;90.0;Métropole Européenne de Lille
2010-06-02T11:00:00+02:00;295.45;46;10.0;Métropole d'Aix-Marseille-Provence
2010-06-03T02:00:00+02:00;288.15;79;100.0;Eurométropole de Strasbourg
2010-06-03T02:00:00+02:00;287.35;80;0.0;Bordeaux Métropole
2010-06-04T02:00:00+02:00;290.85;75;;Métropole d'Aix-Marseille-Provence
2010-06-04T17:00:00+02:00;301.65;38;25.0;Bordeaux Métropole
2010-06-05T17:00:00+02:00;302.05;31;25.0;Eurométropole de Strasbourg
2010-06-07T02:00:00+02:00;286.65;93;25.0;Métropole Européenne de Lille
2010-06-07T05:00:00+02:00;285.65;96;0.0;Métropole Européenne de Lille
2010-06-07T20:00:00+02:00;295.95;57;40.0;Métropole d'Aix-Marseille-Provence
2010-06-08T05:00:00+02:00;289.65;85;90.0;Bordeaux Métropole
2010-06-11T14:00:00+02:00;294.95;58;75.0;Bordeaux Métropole
2010-05-24T20:00:00+02:00;296.35;45;0.0;Métropole d'Aix-Marseille-Provence
2010-05-25T08:00:00+02:00;290.45;72;10.0;Eurométropole de Strasbourg
2010-05-26T05:00:00+02:00;290.45;78;100.0;Eurométropole de Strasbourg
2010-05-27T20:00:00+02:00;292.05;55;50.0;Bordeaux Métropole
2010-05-27T23:00:00+02:00;292.95;71;40.0;Métropole d'Aix-Marseille-Provence
2010-05-28T14:00:00+02:00;292.85;63;90.0;Eurométropole de Strasbourg
2010-05-28T23:00:00+02:00;292.05;69;40.0;Métropole d'Aix-Marseille-Provence
2010-05-29T05:00:00+02:00;285.65;91;100.0;Eurométropole de Strasbourg
2010-05-29T11:00:00+02:00;291.35;50;75.0;Métropole Européenne de Lille
2010-05-29T14:00:00+02:00;291.55;55;90.0;Bordeaux Métropole
2010-05-30T05:00:00+02:00;291.45;65;60.0;Métropole d'Aix-Marseille-Provence
2010-05-30T23:00:00+02:00;282.85;84;25.0;Métropole Européenne de Lille
2010-05-15T23:00:00+02:00;282.55;81;100.0;Eurométropole de Strasbourg
2010-05-16T05:00:00+02:00;280.35;86;90.0;Eurométropole de Strasbourg
2010-05-18T02:00:00+02:00;288.45;52;;Métropole d'Aix-Marseille-Provence
2010-05-18T08:00:00+02:00;281.55;98;50.0;Métropole Européenne de Lille
2010-05-18T17:00:00+02:00;289.15;40;60.0;Eurométropole de Strasbourg
2010-05-20T23:00:00+02:00;289.85;62;25.0;Métropole d'Aix-Marseille-Provence
2010-05-21T05:00:00+02:00;282.75;99;0.0;Métropole Européenne de Lille
2010-05-21T17:00:00+02:00;290.55;55;90.0;Eurométropole de Strasbourg
2010-05-21T17:00:00+02:00;299.65;27;0.0;Bordeaux Métropole
2010-05-22T05:00:00+02:00;283.25;91;40.0;Métropole Européenne de Lille
2010-05-23T02:00:00+02:00;287.95;83;;Métropole d'Aix-Marseille-Provence
2010-05-24T11:00:00+02:00;297.25;38;0.0;Bordeaux Métropole
2010-03-23T19:00:00+01:00;291.25;46;;Bordeaux Métropole
2010-03-23T22:00:00+01:00;284.85;87;;Métropole d'Aix-Marseille-Provence
2010-03-24T01:00:00+01:00;278.05;83;;Eurométropole de Strasbourg
2010-03-24T10:00:00+01:00;287.05;82;90.0;Bordeaux Métropole
2010-05-02T14:00:00+02:00;287.05;80;90.0;Eurométropole de Strasbourg
2010-05-02T20:00:00+02:00;286.85;63;90.0;Bordeaux Métropole
2010-05-03T05:00:00+02:00;285.45;76;40.0;Métropole d'Aix-Marseille-Provence
2010-05-04T02:00:00+02:00;282.25;77;90.0;Eurométropole de Strasbourg
2010-05-01T05:00:00+02:00;284.95;93;100.0;Eurométropole de Strasbourg
2010-05-01T05:00:00+02:00;284.35;80;90.0;Bordeaux Métropole
2010-05-01T20:00:00+02:00;286.65;61;90.0;Métropole Européenne de Lille
2010-05-06T17:00:00+02:00;285.55;56;90.0;Métropole Européenne de Lille
2010-05-06T20:00:00+02:00;286.35;51;50.0;Bordeaux Métropole
2010-02-19T04:00:00+01:00;277.55;88;90.0;Métropole Européenne de Lille
2010-02-20T13:00:00+01:00;282.95;49;10.0;Métropole d'Aix-Marseille-Provence
2010-02-20T19:00:00+01:00;275.25;84;90.0;Métropole Européenne de Lille
2010-02-21T04:00:00+01:00;273.85;99;100.0;Métropole Européenne de Lille
2010-03-14T07:00:00+01:00;272.15;82;0.0;Métropole d'Aix-Marseille-Provence
2010-03-13T04:00:00+01:00;277.35;95;100.0;Métropole Européenne de Lille
