"année";"nom territoire";"code insee";"nom commune";"nom réseau";"indicateur";"unités";"valeur"
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"niveau de rejet en CO2 des réseaux";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"densité";"MWh";5624,44
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"longueur réseau";"MWh";1,8
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production autres";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production biogaz";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production biomasse solide";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production charbon";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production enr hors bois";"MWh";0
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production gaz naturel";"MWh";10012,76
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production produits pétroliers ";"MWh";111,24
"2023";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production totale";"MWh";10124
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"niveau de rejet en CO2 des réseaux";"MWh";0,04
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"densité";"MWh";2432,29
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"longueur réseau";"MWh";0,45
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production autres";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production biogaz";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production biomasse solide";"MWh";925,46
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production charbon";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production enr hors bois";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production gaz naturel";"MWh";160,54
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production produits pétroliers ";"MWh";0
"2023";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production totale";"MWh";1086
"2023";"Rhône";"69092";"Gleizé";"Qartier Belleroche Ouest";"niveau de rejet en CO2 des réseaux";"MWh";0,08
"2023";"Rhône";"69092";"Gleizé";"Réseau chauffage Centre Hospitalier Villefranche";"niveau de rejet en CO2 des réseaux";"MWh";0,07
"2023";"Rhône";"69092";"Gleizé";"Qartier Belleroche Ouest";"densité";"MWh";1876
"2023";"Rhône";"69092";"Gleizé";"Réseau chauffage Centre Hospitalier Villefranche";"densité";"MWh";2432,29
