Code Région;Région;Code Département;Nom Département;Type Production;Type Injection;Stockage Existence;Fin De Trimestre;Nombre Installations;Puissance MW
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection du surplus;NON;30/09/2024;12926;63.8466
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection du surplus;NON;30/09/2024;40;7.2844
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection du surplus;NON;30/09/2024;5;2.025
84;Auvergne-Rhône-Alpes;69;Rhône;Hydraulique;Injection totale;NON;30/09/2024;1;0.12
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection totale;NON;30/09/2024;7497;33.1487
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Autoconsommation sans injection;NON;30/09/2024;12;2.1499
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Autoconsommation sans injection;NON;30/09/2024;6;2.461
84;Auvergne-Rhône-Alpes;69;Rhône;Bio énergie;Injection totale;NON;30/09/2024;1;0.075
84;Auvergne-Rhône-Alpes;69;Rhône;Bio énergie;Injection totale;NON;30/09/2024;1;8.1
84;Auvergne-Rhône-Alpes;69;Rhône;Cogénération;Injection totale;OUI;30/09/2024;1;7.6
84;Auvergne-Rhône-Alpes;69;Rhône;Autres;Autoconsommation sans injection;NON;30/09/2024;1;0.4
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection totale;NON;30/09/2024;211;17.5004
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection totale;NON;30/09/2024;101;18.4772
84;Auvergne-Rhône-Alpes;69;Rhône;Eolien;Injection totale;NON;30/09/2024;1;0.006
84;Auvergne-Rhône-Alpes;69;Rhône;Hydraulique;Injection totale;NON;30/09/2024;6;75.598
84;Auvergne-Rhône-Alpes;69;Rhône;Stockage hors hydraulique;Injection totale;OUI;30/09/2024;1;0.05
84;Auvergne-Rhône-Alpes;69;Rhône;Stockage hors hydraulique;Injection totale;OUI;30/09/2024;3;3.75
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Autoconsommation sans injection;NON;30/09/2024;8;0.5303
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Autoconsommation sans injection;OUI;30/09/2024;42;0.1568
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection totale;NON;30/09/2024;21;62.67
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Autoconsommation sans injection;NON;30/09/2024;3;2.208
84;Auvergne-Rhône-Alpes;69;Rhône;Eolien;Injection totale;NON;30/09/2024;1;12.0
84;Auvergne-Rhône-Alpes;69;Rhône;Bio énergie;Injection totale;NON;30/09/2024;4;0.725
84;Auvergne-Rhône-Alpes;69;Rhône;Cogénération;Injection totale;NON;30/09/2024;16;50.897
84;Auvergne-Rhône-Alpes;69;Rhône;Cogénération;Injection totale;NON;30/09/2024;1;0.325
84;Auvergne-Rhône-Alpes;69;Rhône;Autres;Injection totale;NON;30/09/2024;4;0.001
84;Auvergne-Rhône-Alpes;69;Rhône;Autres;Injection totale;NON;30/09/2024;2;2.6
84;Auvergne-Rhône-Alpes;69;Rhône;Autres;Autoconsommation sans injection;NON;30/09/2024;1;3.15
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection du surplus;OUI;30/09/2024;184;0.9838
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Autoconsommation sans injection;NON;30/09/2024;1939;3.1506
84;Auvergne-Rhône-Alpes;69;Rhône;Bio énergie;Injection totale;NON;30/09/2024;1;0.3
84;Auvergne-Rhône-Alpes;69;Rhône;Bio énergie;Injection du surplus;NON;30/09/2024;2;12.601
84;Auvergne-Rhône-Alpes;69;Rhône;Cogénération;Injection totale;NON;30/09/2024;4;0.033
84;Auvergne-Rhône-Alpes;69;Rhône;Cogénération;Injection totale;NON;30/09/2024;4;0.938
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection totale;NON;30/09/2024;6;2.355
84;Auvergne-Rhône-Alpes;69;Rhône;Photovoltaïque;Injection du surplus;NON;30/09/2024;109;7.7279
