insee	nom	pop1968	pop1975	pop1982	pop1990	pop1999	pop2006	pop2007	pop2008	pop2009	pop2010	pop2011	pop2012	pop2013	pop2014	pop2015	pop2016	pop2017	pop2018	pop2019	pop2020	pop2021	gid
69003	Albigny-sur-Saône	2506	2405	2653	2836	2673	2726	2744	2748	2745	2743	2755	2793	2804	2820	2836	2833	2880	2911	2947	2982	2991	1
69029	Bron	41619	44563	40638	39683	37369	38919	38833	39094	38827	38717	38881	39232	38746	39283	40694	41060	41543	42216	42244	42442	43049	2
69033	Cailloux-sur-Fontaines	751	863	1015	1750	2172	2288	2339	2391	2442	2480	2494	2509	2525	2540	2598	2642	2722	2803	2883	2879	2937	3
69034	Caluire-et-Cuire	37603	43041	41931	41311	41233	41418	41010	40869	41149	41209	41357	42038	42581	42494	42292	42915	43187	42847	43294	43355	43572	4
69040	Champagne-au-Mont-d'Or	3932	4516	4763	4934	4955	4961	4962	4951	4987	5076	5165	5254	5613	5758	5681	5603	5526	5570	5748	5749	5936	5
69044	Charbonnières-les-Bains	2448	3086	3973	4033	4377	4835	4782	4728	4675	4698	4782	4851	4919	4988	5003	5016	5067	5119	5170	5237	5311	6
69046	Charly	1648	2392	2864	3233	3874	4183	4246	4310	4373	4421	4481	4470	4448	4427	4471	4529	4541	4552	4563	4585	4606	7
69063	Collonges-au-Mont-d'Or	2662	2786	2824	3165	3420	3775	3849	3824	3807	3790	3802	3860	3911	3961	4012	4054	4052	4181	4315	4448	4517	8
69068	Couzon-au-Mont-d'Or	1928	2434	2421	2564	2609	2570	2564	2559	2545	2527	2551	2574	2598	2596	2603	2559	2516	2472	2454	2455	2452	9
69069	Craponne	3423	4592	5536	7048	8002	8639	8727	8815	8895	9558	9865	10165	10466	10791	10979	11158	11067	11125	11248	11453	11903	10
69071	Curis-au-Mont-d'Or	581	575	622	735	897	911	994	1025	1057	1088	1119	1134	1147	1159	1172	1170	1172	1175	1179	1182	1179	11
69072	Dardilly	2010	2743	4668	6688	7589	8661	8414	8314	8384	8454	8450	8519	8538	8580	8622	8617	8600	8675	8752	8829	8828	12
69081	Écully	10077	17944	17865	18360	18011	18249	17959	17953	18071	17998	17854	17742	17787	18028	17947	18097	18517	18587	18948	18789	18361	13
69085	Fleurieu-sur-Saône	797	867	898	943	1286	1300	1302	1304	1306	1344	1363	1381	1400	1416	1420	1435	1449	1464	1492	1491	1501	14
69087	Fontaines-Saint-Martin	1306	1826	2056	2124	2721	2702	2698	2794	2825	2929	2994	3060	3091	3143	3087	3070	3052	3053	3033	3015	3043	15
69088	Fontaines-sur-Saône	5313	6276	7062	6760	6721	6337	6310	6299	6303	6306	6294	6295	6469	6642	6816	7001	7069	7068	7066	7065	7047	16
69089	Francheville	4932	8099	9500	10863	11324	11667	11708	12174	12633	12929	12980	13599	14094	14497	14361	14278	14198	14656	14906	14821	15204	17
69091	Givors	19048	21968	20544	19777	18437	18454	19345	19477	19301	19118	19718	19419	19574	19554	19374	19312	19975	20121	20285	20672	20654	18
69096	Grigny	7994	10177	8108	7498	7873	8477	8563	8602	8777	8943	9094	9245	9419	9529	9567	9615	9662	9675	9706	9739	9851	19
69100	Irigny	3679	5226	6828	7955	8330	8258	8270	8250	8285	8320	8266	8250	8361	8472	8583	8609	8641	8695	8750	8805	8867	20
69116	Limonest	1751	1941	2131	2459	2733	3007	3011	3010	3117	3215	3312	3418	3409	3491	3583	3675	3664	3648	3648	3742	3838	21
69117	Lissieu	597	734	2091	2535	3090	3307	3234	3161	3088	3065	3049	3072	3096	3119	3101	3116	3122	3128	3134	3157	3188	22
69123	Lyon	527800	456716	413095	415487	445452	472305	472330	474946	479803	484344	491268	496343	500715	506615	513275	515695	516092	518635	522969	522228	522250	23
69127	Marcy-l'Étoile	484	683	1033	2599	3091	3218	3199	3302	3404	3506	3534	3503	3598	3693	3789	3736	3657	3603	3549	3495	3644	24
69142	La Mulatière	8073	7886	7716	7296	6733	6580	6540	6511	6496	6480	6556	6653	6526	6393	6260	6320	6334	6431	6524	6617	6595	25
69143	Neuville-sur-Saône	5413	5663	6982	6762	7062	7093	7127	7382	7319	7275	7232	7204	7242	7316	7376	7435	7514	7560	7562	7635	7721	26
69149	Oullins	26604	27772	27168	26129	25183	25694	25605	25652	25347	25152	25257	25896	26072	26333	26428	26512	26273	26583	26553	26994	27113	27
69152	Pierre-Bénite	8030	10049	9468	9574	9963	9971	9953	9935	9916	9982	10011	10071	10132	10192	10257	10493	10390	10461	10397	10508	10515	28
69153	Poleymieux-au-Mont-d'Or	366	576	709	845	859	1169	1187	1212	1238	1263	1290	1306	1308	1310	1312	1297	1332	1355	1377	1400	1403	29
69163	Quincieux	1270	1510	1920	2300	2657	2867	2899	2931	2956	3002	3110	3203	3295	3398	3456	3453	3467	3480	3495	3502	3549	30
69168	Rochetaillée-sur-Saône	723	764	779	903	1134	1264	1299	1376	1450	1525	1535	1540	1527	1517	1506	1518	1528	1532	1536	1540	1543	31
69191	Saint-Cyr-au-Mont-d'Or	4075	4763	4800	5318	5392	5388	5385	5443	5640	5587	5534	5480	5485	5482	5513	5545	5576	5721	5747	5686	5900	32
69194	Saint-Didier-au-Mont-d'Or	3872	4648	5115	5967	6154	6340	6342	6436	6428	6419	6411	6403	6466	6527	6589	6650	6785	6951	7006	7124	7265	33
