Journée gazière;Nom Région;Production journalière biométhane (MWh - 0°C);Opérateur de transport
24/10/2017;Auvergne-Rhône-Alpes;109.927;Zone GRTgaz
06/10/2017;Auvergne-Rhône-Alpes;90.571;Zone GRTgaz
02/01/2019;Auvergne-Rhône-Alpes;137.60399999999998;Zone GRTgaz
11/08/2018;Auvergne-Rhône-Alpes;106.889;Zone GRTgaz
14/11/2017;Auvergne-Rhône-Alpes;103.51499999999999;Zone GRTgaz
07/01/2021;Auvergne-Rhône-Alpes;296.908;Zone GRTgaz
24/07/2021;Auvergne-Rhône-Alpes;445.169;Zone GRTgaz
03/08/2022;Auvergne-Rhône-Alpes;1055.712;Zone GRTgaz
25/11/2021;Auvergne-Rhône-Alpes;727.779;Zone GRTgaz
06/10/2022;Auvergne-Rhône-Alpes;1149.957;Zone GRTgaz
08/11/2018;Auvergne-Rhône-Alpes;132.399;Zone GRTgaz
12/08/2023;Auvergne-Rhône-Alpes;1194.867;Zone GRTgaz
21/06/2021;Auvergne-Rhône-Alpes;467.519;Zone GRTgaz
16/07/2018;Auvergne-Rhône-Alpes;131.871;Zone GRTgaz
05/09/2023;Auvergne-Rhône-Alpes;1354.934;Zone GRTgaz
07/03/2023;Auvergne-Rhône-Alpes;1226.114;Zone GRTgaz
06/04/2022;Auvergne-Rhône-Alpes;1013.578;Zone GRTgaz
09/02/2023;Auvergne-Rhône-Alpes;1382.281;Zone GRTgaz
17/04/2023;Auvergne-Rhône-Alpes;1282.436;Zone GRTgaz
19/02/2017;Auvergne-Rhône-Alpes;110.68;Zone GRTgaz
15/10/2016;Auvergne-Rhône-Alpes;35.34599999999999;Zone GRTgaz
23/08/2019;Auvergne-Rhône-Alpes;166.756;Zone GRTgaz
29/12/2018;Auvergne-Rhône-Alpes;127.575;Zone GRTgaz
19/07/2019;Auvergne-Rhône-Alpes;173.954;Zone GRTgaz
13/02/2020;Auvergne-Rhône-Alpes;283.90199999999993;Zone GRTgaz
28/12/2022;Auvergne-Rhône-Alpes;1272.941;Zone GRTgaz
20/11/2023;Auvergne-Rhône-Alpes;1512.692;Zone GRTgaz
03/01/2022;Auvergne-Rhône-Alpes;740.028;Zone GRTgaz
05/09/2021;Auvergne-Rhône-Alpes;508.839;Zone GRTgaz
10/04/2023;Auvergne-Rhône-Alpes;1277.364;Zone GRTgaz
17/06/2018;Auvergne-Rhône-Alpes;130.194;Zone GRTgaz
27/02/2024;Auvergne-Rhône-Alpes;1669.8724092000002;Zone GRTgaz
30/10/2024;Auvergne-Rhône-Alpes;1888.5635316;Zone GRTgaz
10/01/2019;Auvergne-Rhône-Alpes;150.48199999999997;Zone GRTgaz
08/06/2017;Auvergne-Rhône-Alpes;114.009;Zone GRTgaz
19/05/2017;Auvergne-Rhône-Alpes;93.735;Zone GRTgaz
28/02/2018;Auvergne-Rhône-Alpes;107.667;Zone GRTgaz
08/12/2016;Auvergne-Rhône-Alpes;49.83999999999999;Zone GRTgaz
09/11/2016;Auvergne-Rhône-Alpes;40.099999999999994;Zone GRTgaz
