Annee;Nom INSEE région;Code INSEE région;Production hydraulique renouvelable (GWh);Production bioénergies renouvelable (GWh);Production éolienne renouvelable (GWh);Production solaire renouvelable (GWh);Production électrique renouvelable (GWh);Production gaz renouvelable (GWh);Production totale renouvelable (GWh)
2008;Auvergne-Rhône-Alpes;84;28161.3;150.2;404.0;5.7;28721.2;0.0;28721.2
2009;Auvergne-Rhône-Alpes;84;23865.7;186.0;559.0;15.6;24626.3;0.0;24626.3
2010;Auvergne-Rhône-Alpes;84;26198.8;204.5;575.0;73.8;27052.1;0.0;27052.1
2011;Auvergne-Rhône-Alpes;84;19358.3;253.1;606.4;244.3;20462.1;0.0;20462.1
2012;Auvergne-Rhône-Alpes;84;26869.1;299.0;777.9;438.2;28384.2;0.0;28384.2
2013;Auvergne-Rhône-Alpes;84;30409.8;471.8;744.3;472.7;32098.6;0.0;32098.6
2014;Auvergne-Rhône-Alpes;84;25276.007;536.1;764.44;632.29;27208.837;;27208.837
2015;Auvergne-Rhône-Alpes;84;23208.569;549.41;799.03;780.3;25337.308999999997;;25337.308999999997
2016;Auvergne-Rhône-Alpes;84;24967.4;636.99;857.46;819.4;27281.250000000004;;27281.250000000004
2017;Auvergne-Rhône-Alpes;84;20197.999;612.99;1008.12;886.9;22706.009000000002;;22706.009000000002
2018;Auvergne-Rhône-Alpes;84;26296.784;707.18;1081.61;1031.62;29117.194;;29117.194
2019;Auvergne-Rhône-Alpes;84;24057.344;705.63;1192.69;1247.47;27203.134000000002;;27203.134000000002
2020;Auvergne-Rhône-Alpes;84;25932.906;700.04;1143.98;1361.78;29138.706;;29138.706
2021;Auvergne-Rhône-Alpes;84;25036.983;717.12;1350.13;1473.21;28577.443;;28577.443
2022;Auvergne-Rhône-Alpes;84;19905.693;755.05;1436.82;2043.41;24140.972999999998;;24140.972999999998
2023;Auvergne-Rhône-Alpes;84;24433.51;757.89;1478.91;2366.41;29036.719999999998;;29036.719999999998
