Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;00:00;8586;156;10710;66;0;3096;-166;133
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;00:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;00:30;8373;179;10622;64;0;2977;-163;121
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;00:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;01:00;8134;181;10652;58;0;2667;-163;121
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;01:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;01:30;8130;179;10662;54;0;2592;-163;122
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;01:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;02:00;8102;181;10600;42;0;2827;-165;120
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;02:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;02:30;8122;179;10552;30;0;2384;-312;120
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;02:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;03:00;7947;179;10462;25;0;2148;-975;120
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;03:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;03:30;7886;182;10601;23;0;2479;-974;120
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;03:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;04:00;7703;182;10496;23;0;2306;-1294;121
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;04:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;04:30;7667;181;10604;25;0;2499;-1612;120
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;04:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;05:00;7599;180;10609;27;0;2197;-1610;119
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;05:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;05:30;7695;180;10605;39;0;2148;-1975;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;05:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;06:00;7637;180;10606;43;0;2185;-2169;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;06:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;06:30;7575;180;10619;58;0;2241;-2168;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;06:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;07:00;7556;180;10617;63;0;2667;-2167;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;07:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;07:30;7526;180;10624;86;0;2888;-2092;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;07:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;08:00;7618;179;10656;87;0;2956;-2059;120
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;08:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;08:30;7456;178;10618;86;0;2385;-1978;119
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;08:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;09:00;7593;169;10614;79;6;2318;-1613;119
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;09:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;09:30;7723;169;10601;81;25;2325;-1614;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;09:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;10:00;7854;169;10607;81;54;2196;-1505;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;10:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;10:30;7978;169;10631;79;87;2351;-1287;116
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;10:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;11:00;8088;173;10679;79;116;2387;-1286;116
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;11:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;11:30;8256;175;10721;79;145;2370;-1285;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;11:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;12:00;8387;175;10695;76;173;2408;-56;117
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;12:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;12:30;8475;173;10562;84;183;2506;-6;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;12:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;13:00;8617;173;10587;85;177;2491;-6;119
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;13:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;13:30;8449;172;10678;89;165;2659;-507;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;13:45;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;14:00;8252;172;10643;97;149;2721;-804;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;14:15;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;14:30;8088;175;10681;96;137;2883;-1287;118
Auvergne-Rhône-Alpes;Données définitives;01/01/2021;14:45;;;;;;;;
