MM/AAAA,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies,prod
01/2013,565977.0,19264589.0,130835.0,27494.0,6070182.0,103065.0,26162142.0
02/2013,475746.0,16616815.0,131009.0,41655.0,5598065.0,82818.0,22946108.0
03/2013,437527.0,16343857.0,124316.0,68253.0,5148910.0,101623.0,22224486.0
04/2013,78801.0,14807580.0,110378.0,78654.0,5880660.0,76124.0,21032197.0
05/2013,44056.0,15047708.0,112269.0,101820.0,7467792.0,92089.0,22865734.0
06/2013,71983.0,12567043.0,128961.0,120045.0,6484027.0,87210.0,19459269.0
07/2013,58052.0,12076433.0,70882.0,137878.0,5840128.0,84125.0,18267498.0
08/2013,60972.0,12948038.0,93048.0,127855.0,4201648.0,94152.0,17525713.0
09/2013,87522.0,12464761.0,99100.0,95853.0,3603969.0,90519.0,16441724.0
10/2013,82359.0,12688331.0,160520.0,60004.0,4611405.0,78361.0,17680980.0
11/2013,307677.0,14160915.0,152784.0,33340.0,5796365.0,113830.0,20564911.0
12/2013,327427.0,18786308.0,156993.0,44034.0,5032591.0,117710.0,24465063.0
01/2014,278833.0,19145877.0,149937.0,37036.0,6212749.0,159711.0,25984143.0
02/2014,249198.0,16208112.0,160443.0,53337.0,5811853.0,151459.0,22634402.0
03/2014,279807.0,15419848.0,141060.0,119070.0,5546448.0,163052.0,21669285.0
04/2014,50908.0,13297113.0,115436.0,130186.0,4560384.0,98826.0,18252853.0
05/2014,43924.0,13338423.0,179511.0,146198.0,5035357.0,116366.0,18859779.0
06/2014,30533.0,12601767.0,110249.0,172475.0,4362482.0,93839.0,17371345.0
07/2014,51153.0,12752769.0,107582.0,136632.0,5739698.0,111324.0,18899158.0
08/2014,48487.0,12704838.0,76964.0,152541.0,4963265.0,118950.0,18065045.0
09/2014,80022.0,14870694.0,97242.0,136716.0,3136498.0,116730.0,18437902.0
10/2014,151024.0,14670718.0,105256.0,102159.0,3220388.0,131850.0,18381395.0
11/2014,416623.0,14668285.0,135241.0,50371.0,4447831.0,171266.0,19889617.0
12/2014,489339.0,15988977.0,149889.0,35574.0,4517994.0,170678.0,21352451.0
01/2015,501110.0,19226579.0,141423.0,49522.0,5296378.0,146906.0,25361918.0
02/2015,647955.0,16901887.0,132311.0,66132.0,5567209.0,130010.0,23445504.0
03/2015,512111.0,16478397.0,149984.0,115192.0,5449656.0,148154.0,22853494.0
04/2015,260275.0,14543142.0,132562.0,163578.0,4955758.0,123605.0,20178920.0
05/2015,68835.0,13913447.0,172664.0,183420.0,5793415.0,130280.0,20262061.0
06/2015,91285.0,14392284.0,88632.0,202591.0,5186158.0,117625.0,20078575.0
07/2015,234025.0,14795140.0,114256.0,212869.0,3886623.0,140212.0,19383125.0
08/2015,82813.0,15686416.0,110681.0,183304.0,3179247.0,137076.0,19379537.0
09/2015,230566.0,12331182.0,141924.0,146798.0,3031414.0,141037.0,16022921.0
10/2015,361275.0,13264347.0,125061.0,97803.0,3572969.0,124405.0,17545860.0
11/2015,599791.0,14375377.0,150221.0,80122.0,3108024.0,173386.0,18486921.0
12/2015,513033.0,15745493.0,139367.0,67403.0,3374458.0,179320.0,20019074.0
01/2016,662522.0,17526702.0,170000.0,52916.0,5201796.0,182673.0,23796609.0
02/2016,444578.0,16419204.0,180695.0,66627.0,6111486.0,171871.0,23394461.0
03/2016,545206.0,15265201.0,180935.0,126977.0,5355206.0,183927.0,21657452.0
04/2016,160876.0,13208297.0,168931.0,151041.0,5392076.0,157505.0,19238726.0
05/2016,127932.0,13300244.0,193733.0,180940.0,5613932.0,143222.0,19560003.0
06/2016,187168.0,10104003.0,91419.0,188391.0,6501398.0,144194.0,17216573.0
07/2016,226161.0,10426409.0,107609.0,214243.0,5206445.0,152685.0,16333552.0
08/2016,171175.0,9316097.0,101700.0,214634.0,3591743.0,160431.0,13555780.0
09/2016,333445.0,9715609.0,101102.0,162296.0,3032259.0,140792.0,13485503.0
10/2016,613526.0,11522409.0,128911.0,144036.0,2848028.0,127315.0,15384225.0
11/2016,834412.0,10128641.0,168920.0,66024.0,3929839.0,185915.0,15313751.0
12/2016,934664.0,12928505.0,121660.0,74377.0,3777488.0,191301.0,18027995.0
01/2017,827598.0,16374962.0,176416.0,61934.0,4412065.0,172958.0,22025933.0
02/2017,694089.0,14520756.0,202227.0,88372.0,3757069.0,155632.0,19418145.0
