Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;00:00;5014;162;7836;471;0;3930;-969;121
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;00:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;00:30;6443;161;7884;462;0;3864;-955;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;00:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;01:00;5967;161;7968;423;0;3967;-1080;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;01:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;01:30;6090;161;7924;363;0;3873;-1255;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;01:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;02:00;6021;161;7955;358;0;3596;-1165;121
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;02:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;02:30;6311;160;7899;345;0;3553;-696;120
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;02:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;03:00;6579;158;7550;356;0;3284;-732;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;03:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;03:30;5986;158;7452;361;0;3106;-728;118
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;03:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;04:00;5807;157;7442;371;0;2693;-1208;117
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;04:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;04:30;5753;160;7427;359;0;2367;-1208;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;04:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;05:00;5568;161;7427;343;0;2342;-1299;117
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;05:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;05:30;5487;160;7451;332;0;2295;-1761;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;05:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;06:00;5438;160;7455;344;0;2311;-1761;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;06:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;06:30;5535;159;7436;337;0;2288;-1772;117
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;06:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;07:00;5581;159;7431;307;0;2292;-1797;117
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;07:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;07:30;5530;156;7442;314;0;2340;-1931;118
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;07:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;08:00;5271;161;7443;339;0;2178;-1930;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;08:15;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;08:30;5659;160;7541;344;2;2303;-1899;118
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;08:45;;;;;;;;
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;09:00;5763;161;7584;366;43;2297;-1875;119
Auvergne-Rhône-Alpes;Données consolidées;01/01/2023;09:15;;;;;;;;
