annee	energie_produite_annuelle_photovoltaique_enedis_mwh	energie_produite_annuelle_hydraulique_enedis_mwh	energie_produite_annuelle_bio_energie_enedis_mwh	energie_produite_annuelle_cogeneration_enedis_mwh	energie_produite_annuelle_autres_filieres_enedis_mwh
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020	25,94046415	0	0	0	0
2021	23,238	0	0	0	0
2022	30,084	0	0	0	0
2023	51,626	0	0	0	0
2015	238,7379226	0	0	0	0
2015	104,0207447	0	0	0	0
2015	0	0	0	20579,442	0
2016	225,273681	0	0	0	0
2016	99,19841715	0	0	0	0
2016	0	0	0	24636,272	0
2017	235,06	0	0	0	0
2017	127,654	0	0	0	0
2017	0	0	0	34644,659	0
2018	265,8277586	0	0	0	0
2018	111,6612362	0	0	0	0
2018	0	0	0	35833,963	0
2019	286,9106708	0	0	0	0
2019	95,591	0	0	0	0
2019	0	0	0	34893,78167	0
2020	271,8249418	0	0	0	0
2020	60,6025	0	0	19,64233333	0
2020	0	0	0	30115,31017	0
2021	311,555	0	0	0	0
2021	95,734	0	0	776,457	542,559
2021	0	0	0	31767,087	0
2022	368,047	0	0	0	0
2022	78,413	0	0	785,951	446,188
2022	0	0	0	13261,112	0
2023	422,411	0	0	0	0
2023	72,803	0	0	1480,229	0
2023	50,367	0	0	15766,781	0
2015	91,68683837	0	0	0	0
2016	92,84914312	0	0	0	0
2017	96,179	0	0	0	0
2018	106,7870909	0	0	0	0
2019	125,9636635	0	0	0	0
2020	134,9743338	0	0	0	0
2020	13,174	0	0	0	0
2021	129,783	0	0	0	0
2021	18,764	0	0	0	0
2022	147,675	0	0	0	0
2022	4,084	0	0	0	0
2021	859,102	0	0	0	0
2023	171,409	0	0	0	0
2023	18,248	0	0	0	0
2015	173,1605106	0	0	0	0
2015	83,456	0	0	0	0
2016	181,12761	0	0	0	0
2016	100,049	0	0	0	0
2017	238,379	0	0	0	0
2017	107,574	0	0	0	0
2018	228,3604943	0	0	0	0
2018	105,5446667	0	0	0	0
2019	223,2225458	0	0	0	0
2019	109,0885	0	0	0	0
2019	0	74,27766667	0	0	0
2020	217,3698466	0	0	0	0
2020	107,4405	0	0	0	0
2020	0	7,02	0	0	0
2021	226,453	0	0	0	0
2021	102,128	0	0	0	0
2021	0	8,615	0	0	0
2022	265,848	0	0	0	0
2022	105,191	0	0	0	0
2022	0	0	0	0	0
2023	318,026	0	0	0	0
2023	83,268	0	0	0	0
2023	0	0,398	0	0	0
2015	63,06755708	0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020	74,83016358	0	0	0	0
2021		0	0	0	0
2022	91,39	0	0	0	0
2023	97,643	0	0	0	0
2015	49,42814334	0	0	0	0
2016	47,97698433	0	0	0	0
2017	50,728	0	0	0	0
2018	44,81816995	0	0	0	0
2019	59,31743963	0	0	0	0
2020	65,52916858	0	0	0	0
2021	75,452	0	0	0	0
2022	82,351	0	0	0	0
2023	139,613	0	0	0	0
2015	162,3840814	0	0	0	0
2016	157,4000408	0	0	0	0
2017	168,712	0	0	0	0
2018	179,1170767	0	0	0	0
2019	195,1679085	0	0	0	0
2020	201,0824014	0	0	0	0
2021	192,602	0	0	0	0
2022	237,88	0	0	0	0
2023	292,23	0	0	0	0
2015	59,16324602	0	0	0	0
2016	57,43079083	0	0	0	0
2017	67,405	0	0	0	0
2018	80,865615	0	0	0	0
2019	70,1122255	0	0	0	0
2020	69,67019178	0	0	0	0
2021	97,249	0	0	0	0
2022	115,577	0	0	0	0
2023	127,914	0	0	0	0
2015	33,91634297	0	0	0	0
2015	0	12107,913	0	0	0
2016	32,95682498	0	0	0	0
2016	0	12517,619	0	0	0
2017		0	0	0	0
2017	0	12312,901	0	0	0
2018	35,98966412	0	0	0	0
2018	0	10349,886	0	0	0
2019	36,23016615	0	0	0	0
2019	0	17238,37767	0	0	0
2020	36,62140504	0	0	0	0
2020	0	15245,826	0	0	0
2021	37,076	0	0	0	0
2021	0	16167,87	0	0	0
2022	33,284	0	0	0	0
2022	0	14865,994	0	0	0
2023	37,678	0	0	0	0
2023	0	10185,047	0	0	0
2015		0	0	0	0
2015	188,4099797	0	0	0	0
2016	202,6212769	0	0	0	0
2016	228,8929723	0	0	0	0
2017		0	0	0	0
2017	247,412	0	0	0	0
2018	212,1222036	0	0	0	0
2018	239,857479	0	0	0	0
2019		0	0	0	0
2019	245,777	0	0	0	0
2020		0	0	0	0
2020	247,266	0	0	0	0
2021	226,021	0	0	0	0
2021	230,654	0	0	0	0
2022	259,638	0	0	0	0
2022	243,51	0	0	0	0
2023	298,152	0	0	0	0
2023	234,401	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020		0	0	0	0
2021		0	0	0	0
2022		0	0	0	0
2023	56,423	0	0	0	0
2015		0	0	0	0
2015	168,7632657	0	0	0	0
2016	206,1775091	0	0	0	0
2016	148,4220312	0	0	0	0
2017	235,732	0	0	0	0
2017	231,475	0	0	0	0
2017	717,827	0	0	0	0,957
2018	258,4650221	0	0	0	0
2018	264,8289961	0	0	0	0
2018	1001,194	0	0	0	0
2019	266,5522331	0	0	0	0
2019	259,594	0	0	0	0
2019	1027,231167	0	0	0	0
2020		0	0	0	0
2020	176,067	0	0	0	0
2020	866,6528333	0	0	0	0
2021	279,514	0	0	0	0
2021	175,642	0	0	0	0
2021	825,449	0	0	0	0
2022	345,514	0	0	0	0
2022	231,981	0	0	0	0
2022	888,798	0	0	0	0
2023	446,766	0	0	0	0
2023	447,009	0	0	0	0
2023	887,548	0	0	0	0
2015	103,5835657	0	0	0	0
2015	0	0	0	7716,872	0
2016	97,02921457	0	0	0	0
2016	0	0	0	8359,017	0
2017	105,27	0	0	0	0
2017	0	0	0	8649,558	0
2018	126,8354235	0	0	0	0
2018	0	0	0	8894,935333	0
2019	137,4174224	0	0	0	0
2019	0	0	0	8040,698	0
2020	144,6857417	0	0	0	0
2020	0	0	0	8323,937	0
2021	138	0	0	0	0
2021	0	0	0	7441,073	0
2022	165,914	0	0	0	0
2022	0	0	0	1788,603	0
2023	216,532	0	0	0	0
2023	0	0	0	2014,982	0
2015	34,95749389	0	0	0	0
2016	34,77761926	0	0	0	0
2017	38,054	0	0	0	0
2018	38,36952807	0	0	0	0
2019	41,06162169	0	0	0	0
2020	38,50629162	0	0	0	0
2021	40,734	0	0	0	0
2022	50,351	0	0	0	0
2022	0,798	0	0	0	0
2023	85,565	0	0	0	0
2023	1,896	0	0	0	0
2015	25,43440924	0	0	0	0
2016	26,82423036	0	0	0	0
2017	29,225	0	0	0	0
2018	32,35702717	0	0	0	0
2019	35,57636484	0	0	0	0
2020	44,3342657	0	0	0	0
2021	54,008	0	0	0	0
2022	69,27	0	0	0	0
2023	98,046	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020		0	0	0	0
2021	15,612	0	0	0	0
2022		0	0	0	0
2023		0	0	0	0
2015	172,0540002	0	0	0	0
2016	170,4440893	0	0	0	0
2017	200,862	0	0	0	0
2018	210,2911643	0	0	0	0
2019	228,1816885	0	0	0	0
2020	231,0180862	0	0	0	0
2021	214,375	0	0	0	0
2021	10,707	0	0	0	0
2022	247,928	0	0	0	0
2022	50,693	0	0	0	0
2023	287,523	0	0	0	0
2023	90,808	0	0	0	0
2015	175,2178415	0	0	0	0
2015	109,6617605	0	0	0	0
2016	183,2401731	0	0	0	0
2016	100,4487408	0	0	0	0
2017	197,065	0	0	0	0
2017	111,134	0	0	0	0
2018	187,7192946	0	0	0	0
2018	107,2110945	0	0	0	0
2019	215,9707713	0	0	0	0
2019	113,338	0	0	0	0
2020	214,3362806	0	0	0	0
2020	125,47	0	0	0	0
2020	3,5575	0	0	0	0
2021	210,899	0	0	0	0
2021	206,858	0	0	0	0
2021	0	0	0	0	0
2022	264,587	0	0	0	0
2022	220,38	0	0	0	0
2022	0	0	0	0	0
2023	309,454	0	0	0	0
2023	182,461	0	0	0	0
2023	0,202	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019	172,6263045	0	0	0	0
2020	167,9836543	0	0	0	0
2021	171,754	0	0	0	0
2022	200,579	0	0	0	0
2023	240,701	0	0	0	0
2015		0	0	0	0
2015	0	0	0	6926,498	0
2016	187,9146538	0	0	0	0
2016	0	0	0	6942,377	0
2017	203,747	0	0	0	0
2017	0	0	0	6811,578	0
2018	209,7932643	0	0	0	0
2018	0	0	0	6933,438167	0
2019	221,7125898	0	0	0	0
2019	0	0	0	6522,853499	0
2020	215,8554277	0	0	0	0
2020	1644,282167	0	0	0	4160,57175
2021	206,891	0	0	0	0
2021	2052,461	0	0	3384,785	0
2022	231,692	0	0	0	0
2022	129,569	0	0	0	0
2022	2236,309	0	0	3532,025	0
2023	293,734	0	0	0	0
2023	173,592	0	0	0	0
2023	2011,405	0	0	3516,715	0
2015	1005,754503	0	0	0	0
2016	90,29465318	0	0	0	0
2017	102,782	0	0	0	0
2018	105,2009392	0	0	0	0
2019	116,2766721	0	0	0	0
2020	203,9575305	0	0	0	0
2021	153,237	0	0	0	0
2021	24,441	0	0	0	0
2022	150,214	0	0	0	0
2022	33,636	0	0	0	0
2023	196,249	0	0	0	0
2023	26,475	0	0	0	0
2015	64,44198446	0	0	0	0
2016	68,64547124	0	0	0	0
2017	78,937	0	0	0	0
2018	82,85992543	0	0	0	0
2019	95,74623618	0	0	0	0
2020	93,8114348	0	0	0	0
2021	98,796	0	0	0	0
2022	111,788	0	0	0	0
2023	123,446	0	0	0	0
2023	15,3	0	0	0	0
2015	672,0058028	0	0	0	0
2015	925,558051	0	0	788,359	0
2015	383,895	0	30805,102	0	0
2016	902,8262745	0	0	0	0
2016	1058,28553	0	0	798,93	0
2016	367,625	0	31636,079	0	0
2017	880,615	0	0	0	0
2017	1278,398	0	0	807,671	0
2017	384,841	0	30741,044	6127,879	0
2018	913,0362589	0	0	0	0
2018	1461,725414	0	0	807,7845	0
2018	389,4148333	0	35679,69683	15818,75217	0
2019	932,7540947	0	0	0	0
2019	1401,581167	0	0	823,5458333	0
2019	426,2811667	0	35763,21417	42647,56267	0
2020	935,1191756	0	0	0	0
2020	1854,585667	0	0	807,2576667	0
2020	419,5755	0	27371,13267	43278,66	0
2021	2042,723	0	0	570,612	0
2021	400,789	0	19776,642	42206,435	0
2022	958,59	0	0	0	0
2022	2234,473	0	0	0	2,774
2022	518,339	0	11066,845	35419,722	0
2023	1276,007	0	0	0	0
2023	2204,892	0	0,266	0	0,063
2023	530,269	0	19134,602	42587,732	0
2015	61,55397058	0	0	0	0
2016	53,74760416	0	0	0	0
2017	65,495	0	0	0	0
2018	73,7846948	0	0	0	0
2019	89,84034896	0	0	0	0
2020	83,45291927	0	0	0	0
2021	84,16	0	0	0	0
2021	87,488	0	0	0	0
2022	101,597	0	0	0	0
2022	119,204	0	0	0	0
2023	133,124	0	0	0	0
2023	107,034	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020		0	0	0	0
2021		0	0	0	0
2022		0	0	0	0
2023		0	0	0	0
2015	40,00648253	0	0	0	0
2016	40,56724713	0	0	0	0
2017	40,79	0	0	0	0
2018	44,1773548	0	0	0	0
2019	49,77219622	0	0	0	0
2020	40,75360787	0	0	0	0
2021	40,877	0	0	0	0
2022	58,361	0	0	0	0
2023	81,707	0	0	0	0
2015	77,86329031	0	0	0	0
2015	0	0	0	6810,69	0
2016	74,96992331	0	0	0	0
2016	0	0	0	6487,046	0
2017	82,953	0	0	0	0
2017	0	0	0	6373,435	0
2018	93,40647732	0	0	0	0
2018	0	0	0	6720,888333	0
2019	107,9320588	0	0	0	0
2019	0	0	0	6641,201	0
2020	107,2770436	0	0	0	0
2020	0	0	0	6642,886	0
2021	106,373	0	0	0	0
2021	0	0	0	5833,845	0
2022	134,474	0	0	0	0
2022	0	0	0	5216,998	0
2023	190,953	0	0	0	0
2023	0,169	0	0	0	0
2023	0	0	0	6596,782	0
2015		0	0	0	0
2015	0	51824,365	0	0	0
2016		0	0	0	0
2016	0	41987,348	0	5705,282	0
2017		0	0	0	0
2017	0	60436,231	0	13940,752	0
2018		0	0	0	0
2018	0	53290,72317	0	14882,21033	0
2019	102,8078279	0	0	0	0
2019	0	56677,0305	0	15184,82917	0
2020	110,3583486	0	0	0	0
2020	427,23	0	0	0	0
2020	1128,7605	53192,41533	0	15158,20617	0
2021	118,76	0	0	0	0
2021	453,283	0	0	0	0
2021	1354,899	46399,855	0	12420,263	0
2022	134,283	0	0	0	0
2022	506,617	0	0	0	0
2022	1504,309	48885,582	0	12728,644	0
2023		0	0	0	0
2023	441,201	0	0	0	0
2023	1329,534	36213,409	0	15448,745	0
2015	37,21997137	0	0	0	0
2016	32,2669603	0	0	0	0
2017		0	0	0	0
2018	35,44561176	0	0	0	0
2019	36,77882093	0	0	0	0
2020	36,01335345	0	0	0	0
2021	40,427	0	0	0	0
2022	39,782	0	0	0	0
2023	47,4	0	0	0	0
2015	107,8436038	0	0	0	0
2015	9959,007	0	0	0	0
2016	106,1840076	0	0	0	0
2016	8974,689	0	0	0	0
2017	118,108	0	0	0	0
2017	8922,932	0	0	0	0
2018	132,7835548	0	0	0	0
2018	9765,902167	0	0	0	0
2019	146,8462088	0	0	0	0
2019	10290,5215	0	0	0	0
2020	141,7099038	0	0	0	0
2020	15951,82733	0	0	0	0
2021	156,996	0	0	0	0
2021	15157,899	0	0	0	0
2022	202,732	0	0	0	0
2022	19726,547	0	0	0	0
2023	228,994	0	0	0	0
2023	2,85	0	0	0	0
2023	18044,389	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017		0	0	0	0
2018		0	0	0	0
2019		0	0	0	0
2020	36,88958166	0	0	0	0
2021	42,262	0	0	0	0
2022	45,879	0	0	0	0
2023	51,829	0	0	0	0
2023	0,221	0	0	0	0
2015		0	0	0	0
2016		0	0	0	0
2017	89,835	0	0	0	0
2018	86,15335304	0	0	0	0
2019	101,2634495	0	0	0	0
2020	111,7682086	0	0	0	0
2021	123,629	0	0	0	0
2022	158,541	0	0	0	0
2023	220,226	0	0	0	0
2015	104,7340854	0	0	0	0
2016	112,4694834	0	0	0	0
2017	119,26	0	0	0	0
2018	123,0754347	0	0	0	0
2019	144,7122706	0	0	0	0
2020	144,486107	0	0	0	0
2021	152,621	0	0	0	0
2022	182,801	0	0	0	0
2023		0	0	0	0
2015	112,2019116	0	0	0	0
2015	0	0	0	787,863	0
2015	2294,285	0	0	0	0
2016	112,3860963	0	0	0	0
2016	0	0	0	747,663	0
