annee;nom_iris;code_iris;type_iris;nom_commune;code_commune;domaine_de_tension;nb_sites_photovoltaique_enedis;energie_produite_annuelle_photovoltaique_enedis_mwh;nb_sites_eolien_enedis;energie_produite_annuelle_eolien_enedis_mwh;nb_sites_hydraulique_enedis;energie_produite_annuelle_hydraulique_enedis_mwh;nb_sites_bio_energie_enedis;energie_produite_annuelle_bio_energie_enedis_mwh;nb_sites_cogeneration_enedis;energie_produite_annuelle_cogeneration_enedis_mwh;nb_sites_autres_filieres_enedis;energie_produite_annuelle_autres_filieres_enedis_mwh;gid
2015;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1
2016;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2
2017;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3
2018;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;4
2019;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5
2020;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;10;25,940464153521823;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;6
2021;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;13;23,238;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;7
2022;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;18;30,084;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;8
2023;Albigny-sur-Saône (commune non irisée);690030000;Z;Albigny-sur-Saône;69003;BT <= 36 kVA;27;51,626;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;9
2015;Les-Genets-Hopitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;10
2016;Les-Genets-Hopitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;11
2016;Les-Genets-Hopitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;4392,795;0;0,0;12
2017;Les-Genets-Hopitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;13
2017;Les-Genets-Hopitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;14686,446;0;0,0;14
2018;Les-Genets-Hopitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;15
2018;Les-Genets-Hopitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;15469,131833333335;0;0,0;16
2019;Les Genêts-Hôpitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;17
2019;Les Genêts-Hôpitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;15208,802333333333;0;0,0;18
2020;Les Genêts-Hôpitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;19
2020;Les Genêts-Hôpitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;15487,768166666667;0;0,0;20
2021;Les Genêts-Hôpitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;21
2021;Les Genêts-Hôpitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;12460,643;0;0,0;22
2022;Les Genêts-Hôpitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;23
2022;Les Genêts-Hôpitaux;690290101;H;Bron;69029;HTA;0;0,0;0;0,0;0;0,0;0;0,0;1;13137,322;0;0,0;24
2023;Les Genêts-Hôpitaux;690290101;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;25
2023;Les Genêts-Hôpitaux;690290101;H;Bron;69029;HTA;2;50,367;0;0,0;0;0,0;0;0,0;1;15657,438;0;0,0;26
2015;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;27
2016;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;28
2017;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;29
2018;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;30
2019;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;31
2020;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;;;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;32
2021;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;12;24,227;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;33
2022;Gendarmerie-Garenne;690290102;H;Bron;69029;BT <= 36 kVA;13;40,216;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;34
