Mois	Code INSEE région	Région	Production nucléaire (GWh)	Production thermique (GWh)	Production hydraulique (GWh)	Production éolienne (GWh)	Production solaire (GWh)	Production bioénergies (GWh)
2014-01	84	Auvergne-Rhône-Alpes	9578.044	140.135	3040.221	75.012	18.382	74.183
2014-02	84	Auvergne-Rhône-Alpes	8105.587	125.878	2817.776	80.168	26.505	69.172
2014-03	84	Auvergne-Rhône-Alpes	7700.958	138.956	2706.838	70.371	59.123	75.7
2014-04	84	Auvergne-Rhône-Alpes	6649.728	25.656	2249.051	57.75	64.638	57.832
2014-05	84	Auvergne-Rhône-Alpes	6670.371	21.83	2484.973	89.805	72.585	66.961
2014-06	84	Auvergne-Rhône-Alpes	6302.014	15.521	2136.25	55.14	85.587	55.437
2014-07	84	Auvergne-Rhône-Alpes	6377.779	25.278	2839.639	53.814	67.935	64.496
2014-08	84	Auvergne-Rhône-Alpes	6349.763	24.25	2437.096	38.553	75.833	68.275
2014-09	84	Auvergne-Rhône-Alpes	7441.899	37.305	1531.583	48.57	67.984	66.898
2014-10	84	Auvergne-Rhône-Alpes	7349.015	71.716	1591.591	52.68	50.814	60.36
2014-11	84	Auvergne-Rhône-Alpes	7339.915	205.372	2173.424	67.669	25.124	79.688
2014-12	84	Auvergne-Rhône-Alpes	8000.74	240.804	2197.073	74.906	17.777	79.614
2015-01	84	Auvergne-Rhône-Alpes	9616.968	239.695	2598.047	70.684	24.742	73.466
2015-02	84	Auvergne-Rhône-Alpes	8451.816	317.885	2726.703	66.137	32.883	65.006
2015-03	84	Auvergne-Rhône-Alpes	8230.613	249.926	2651.633	74.826	57.232	73.965
2015-04	84	Auvergne-Rhône-Alpes	7275.996	126.247	2446.133	66.232	81.303	61.79
2015-05	84	Auvergne-Rhône-Alpes	6960.68	28.975	2854.74	86.264	91.172	65.137
2015-06	84	Auvergne-Rhône-Alpes	7200.137	41.28	2567.521	44.316	100.633	58.799
2015-07	84	Auvergne-Rhône-Alpes	7398.047	114.077	1922.345	57.055	105.849	70.101
2015-08	84	Auvergne-Rhône-Alpes	7848.772	41.376	1589.367	55.399	91.235	68.534
