Date;Code INSEE département;Département;TMin (°C);TMax (°C);TMoy (°C)
2019-10-24;69;Rhône;12.8;20.45;16.62
2019-10-26;69;Rhône;8.1;23.35;15.73
2019-10-28;69;Rhône;13.65;16.85;15.25
2019-10-30;69;Rhône;10.85;13.75;12.3
2019-11-05;69;Rhône;9.6;15.2;12.4
2019-11-08;69;Rhône;3.1;11.2;7.15
2019-11-10;69;Rhône;3.65;10.5;7.08
2019-11-18;69;Rhône;2.4;9.25;5.82
2020-12-13;69;Rhône;2.0;10.55;6.28
2019-11-20;69;Rhône;-0.15;10.0;4.93
2020-12-15;69;Rhône;10.05;13.0;11.52
2020-12-16;69;Rhône;6.2;14.75;10.48
2020-12-17;69;Rhône;5.75;10.2;7.98
2019-11-26;69;Rhône;5.25;14.6;9.93
2020-12-22;69;Rhône;6.05;15.45;10.75
2019-11-30;69;Rhône;4.35;8.1;6.22
2020-12-26;69;Rhône;1.55;4.15;2.85
2019-12-05;69;Rhône;-3.4;2.55;-0.42
2019-12-07;69;Rhône;3.6;13.3;8.45
2018-09-04;69;Rhône;13.3;26.8;20.05
2021-01-07;69;Rhône;-1.45;2.95;0.75
2018-09-06;69;Rhône;17.55;22.7;20.12
2021-01-08;69;Rhône;-1.05;3.55;1.25
2018-09-07;69;Rhône;16.2;25.05;20.62
2018-09-10;69;Rhône;14.8;31.05;22.92
2019-12-21;69;Rhône;7.05;13.15;10.1
2021-01-17;69;Rhône;-1.0;5.05;2.03
2021-01-18;69;Rhône;-0.15;3.8;1.82
2021-01-19;69;Rhône;-2.5;9.8;3.65
2018-09-18;69;Rhône;17.85;31.05;24.45
2018-09-19;69;Rhône;17.4;31.4;24.4
2018-09-21;69;Rhône;17.05;30.6;23.82
2018-09-22;69;Rhône;10.6;23.85;17.23
2021-01-27;69;Rhône;0.15;6.2;3.18
2018-09-26;69;Rhône;7.05;26.15;16.6
2021-01-29;69;Rhône;8.2;15.15;11.68
2021-01-31;69;Rhône;4.3;12.6;8.45
2018-10-03;69;Rhône;9.25;20.2;14.72
2021-02-04;69;Rhône;3.4;11.65;7.52
2021-02-07;69;Rhône;6.25;9.05;7.65
2020-01-15;69;Rhône;10.6;13.1;11.85
2018-10-11;69;Rhône;15.0;24.75;19.88
2018-10-12;69;Rhône;17.2;25.0;21.1
2020-01-19;69;Rhône;0.95;5.8;3.38
2020-01-20;69;Rhône;-1.05;6.8;2.88
2021-02-15;69;Rhône;3.6;8.9;6.25
2021-02-17;69;Rhône;2.85;15.05;8.95
2021-02-18;69;Rhône;3.05;13.2;8.12
2020-01-26;69;Rhône;5.6;12.15;8.88
2020-01-27;69;Rhône;2.55;10.65;6.6
2018-12-21;69;Rhône;6.2;11.3;8.75
2018-12-22;69;Rhône;9.65;11.85;10.75
2021-03-01;69;Rhône;1.05;18.0;9.52
2020-08-31;69;Rhône;11.9;22.6;17.25
2018-10-31;69;Rhône;5.2;16.1;10.65
2018-12-27;69;Rhône;-0.75;4.95;2.1
2020-09-03;69;Rhône;11.9;26.35;19.12
2018-11-03;69;Rhône;7.55;10.05;8.8
2021-03-07;69;Rhône;3.0;13.45;8.22
2020-09-05;69;Rhône;17.0;31.4;24.2
2018-12-30;69;Rhône;0.65;6.0;3.32
2018-12-31;69;Rhône;3.85;7.1;5.48
2020-09-07;69;Rhône;11.75;24.25;18.0
