identifiant;average_measurement;month
69029001;10,6;2024-11
69123002;9,4;2024-11
69204002;10,8;2024-11
69029001;15,4;2024-10
69123002;15,4;2024-10
69204002;14,9;2024-10
69029001;15,6;2024-09
69123002;17,4;2024-09
69204002;17,2;2024-09
69029001;23,5;2024-08
69123002;23,3;2024-08
69204002;26,4;2024-08
69029001;23,1;2024-07
69123002;23,6;2024-07
69204002;22,8;2024-07
69029001;20,2;2024-06
69123002;20,3;2024-06
69029001;15,6;2024-05
69123002;16,6;2024-05
69204002;14,7;2024-05
69029001;12,3;2024-04
69123002;13,3;2024-04
69204002;12,2;2024-04
69029001;10,6;2024-03
69123002;11,3;2024-03
69204002;10,4;2024-03
69029001;8,7;2024-02
69123002;9,2;2024-02
69204002;8,4;2024-02
69029001;5,1;2024-01
69123002;5,1;2024-01
69204002;4,8;2024-01
69029001;6,3;2023-12
69123002;6,5;2023-12
69204002;6,3;2023-12
69029001;8,8;2023-11
69123002;9,2;2023-11
69204002;8,4;2023-11
69029001;16,3;2023-10
69123002;16,3;2023-10
69204002;16,2;2023-10
69029001;21,5;2023-09
69123002;21,7;2023-09
69204002;21,4;2023-09
69029001;24,1;2023-08
69123002;24,5;2023-08
69204002;23,8;2023-08
69029001;23,8;2023-07
69123002;24,5;2023-07
69204002;23,5;2023-07
69029001;22,2;2023-06
69123002;23,4;2023-06
69204002;22,0;2023-06
69029001;16,3;2023-05
69123002;17,6;2023-05
69204002;16,4;2023-05
69029001;11,1;2023-04
69123002;12,4;2023-04
69204002;11,4;2023-04
69029001;9,7;2023-03
69123002;10,6;2023-03
69204002;9,6;2023-03
69029001;5,5;2023-02
69123002;6,0;2023-02
69204002;6,0;2023-02
69029001;5,5;2023-01
69123002;6,2;2023-01
69204002;5,1;2023-01
69029001;6,1;2022-12
69123002;6,3;2022-12
69204002;5,6;2022-12
69029001;10,0;2022-11
69123002;10,3;2022-11
69204002;9,9;2022-11
69029001;17,3;2022-10
69123002;17,2;2022-10
69204002;17,3;2022-10
69029001;17,9;2022-09
69123002;18,2;2022-09
69204002;17,5;2022-09
69029001;24,6;2022-08
69123002;25,2;2022-08
69204002;24,6;2022-08
69029001;24,6;2022-07
69123002;25,6;2022-07
69204002;24,8;2022-07
69029001;22,8;2022-06
69123002;23,5;2022-06
69204002;22,5;2022-06
69029001;19,3;2022-05
69123002;20,3;2022-05
69204002;19,3;2022-05
69029001;11,8;2022-04
69123002;13,1;2022-04
69204002;12,2;2022-04
69029001;9,7;2022-03
69123002;10,7;2022-03
69204002;9,9;2022-03
69029001;7,0;2022-02
69123002;7,4;2022-02
69204002;7,0;2022-02
69029001;2,2;2022-01
69123002;2,9;2022-01
69204002;2,2;2022-01
69029001;4,8;2021-12
69123002;5,0;2021-12
69204002;4,5;2021-12
69029001;6,5;2021-11
69123002;6,9;2021-11
69204002;5,8;2021-11
69029001;12,7;2021-10
69123002;12,6;2021-10
69204002;12,5;2021-10
69029001;19,5;2021-09
69123002;19,6;2021-09
69204002;18,9;2021-09
69029001;20,6;2021-08
69123002;20,9;2021-08
69204002;19,9;2021-08
69029001;21,2;2021-07
69123002;21,5;2021-07
69204002;20,4;2021-07
69029001;21,8;2021-06
69123002;22,4;2021-06
69204002;20,9;2021-06
69029001;14,4;2021-05
69123002;15,0;2021-05
69204002;13,8;2021-05
69029001;11,0;2021-04
69123002;11,7;2021-04
69204002;10,7;2021-04
69029001;8,7;2021-03
69123002;9,1;2021-03
69204002;8,6;2021-03
69029001;8,4;2021-02
69123002;8,5;2021-02
69204002;7,9;2021-02
69029001;3,7;2021-01
69123002;4,1;2021-01
69204002;3,2;2021-01
69029001;6,3;2020-12
69123002;6,8;2020-12
69204002;5,7;2020-12
69029001;8,9;2020-11
69123002;8,8;2020-11
69204002;8,9;2020-11
69029001;12,6;2020-10
69123002;12,7;2020-10
69204002;13,0;2020-10
69029001;19,7;2020-09
69123002;19,6;2020-09
69204002;19,2;2020-09
69029001;24,0;2020-08
69123002;24,0;2020-08
69204002;23,3;2020-08
69029001;24,2;2020-07
69123002;28,6;2020-07
69204002;23,5;2020-07
69029001;19,9;2020-06
69204002;19,3;2020-06
69029001;17,6;2020-05
69204002;16,9;2020-05
69029001;15,3;2020-04
69204002;14,8;2020-04
69029001;9,5;2020-03
69204002;9,2;2020-03
69029001;8,5;2020-02
69204002;8,4;2020-02
69029001;5,5;2020-01
69204002;5,3;2020-01
69029001;7,0;2019-12
69204002;6,7;2019-12
69029001;8,2;2019-11
69204002;7,5;2019-11
69029001;15,3;2019-10
69204002;14,6;2019-10
69029001;19,0;2019-09
69204002;18,5;2019-09
69029001;22,4;2019-08
69204002;21,9;2019-08
69029001;25,0;2019-07
69204002;24,3;2019-07
69029001;22,1;2019-06
69204002;21,1;2019-06
69029001;14,6;2019-05
69204002;13,8;2019-05
69029001;12,1;2019-04
69204002;11,5;2019-04
69029001;10,1;2019-03
69204002;9,8;2019-03
69029001;6,5;2019-02
69204002;6,9;2019-02
69029001;3,4;2019-01
69204002;2,8;2019-01
69029001;6,2;2018-12
69204002;5,6;2018-12
69029001;9,0;2018-11
69204002;8,6;2018-11
69029001;13,9;2018-10
69204002;13,7;2018-10
69029001;20,1;2018-09
69204002;19,7;2018-09
69029001;24,0;2018-08
69204002;23,3;2018-08
69029001;24,6;2018-07
69204002;23,7;2018-07
69029001;21,3;2018-06
69204002;20,4;2018-06
69029001;17,3;2018-05
69204002;16,7;2018-05
69029001;15,1;2018-04
69204002;14,5;2018-04
69029001;8,1;2018-03
69029001;2,4;2018-02
69204002;1,4;2018-02
69029001;8,2;2018-01
69204002;7,5;2018-01
69029001;4,7;2017-12
69029001;6,7;2017-11
69029001;14,1;2017-10
69029001;16,3;2017-09
69029001;23,5;2017-08
69029001;23,4;2017-07
69029001;22,8;2017-06
69029001;17,0;2017-05
69029001;12,0;2017-04
69029001;11,1;2017-03
69029001;8,1;2017-02
69029001;0,6;2017-01
69029001;2,3;2016-12
69029001;8,2;2016-11
69029001;11,7;2016-10
69029001;20,1;2016-09
69029001;22,5;2016-08
69029001;22,7;2016-07
69029001;19,8;2016-06
69029001;15,0;2016-05
69029001;11,7;2016-04
69029001;7,5;2016-03
69029001;6,8;2016-02
69029001;6,6;2016-01
69029001;8,3;2015-12
69029001;9,1;2015-11
69029001;11,4;2015-10
69029001;16,8;2015-09
69029001;23,3;2015-08
69029001;25,9;2015-07
69029001;21,9;2015-06
69029001;17,1;2015-05
69029001;13,3;2015-04
69029001;8,9;2015-03
69029001;3,7;2015-02
69029001;4,2;2015-01
69029001;5,0;2014-12
69029001;10,3;2014-11
69029001;15,5;2014-10
69029001;18,7;2014-09
69029001;19,7;2014-08
69029001;20,5;2014-07
69029001;21,7;2014-06
69029001;15,4;2014-05
69029001;13,3;2014-04
69029001;9,8;2014-03
69029001;7,6;2014-02
69029001;7,0;2014-01
69029001;4,3;2013-12
69029001;6,5;2013-11
69029001;15,5;2013-10
69029001;18,2;2013-09
69029001;21,7;2013-08
69029001;23,8;2013-07
69029001;18,8;2013-06
69029001;12,8;2013-05
69029001;11,8;2013-04
69029001;7,0;2013-03
69029001;1,5;2013-02
69029001;3,2;2013-01
69029001;5,5;2012-12
69029001;8,8;2012-11
69029001;14,0;2012-10
69029001;17,6;2012-09
69029001;22,7;2012-08
69029001;21,1;2012-07
69029001;20,6;2012-06
