Année;Réalisé;Scénario bas;Scénario médian;Scénario haut
2028;;449174;573522;633423
2035;;1143314;1548726;1830474
2024;149668;168944;180232;192776
2026;;288966;345462;374506
2016;16220;;;
2021;53667;;;
2020;34686;;;
2029;;540056;704085;785659
2019;30203;;;
2017;19309;;;
2015;11113;;;
2033;;940603;1271180;1475148
2018;26254;;;
2031;;735873;985434;1122726
2030;;636154;841989;949969
2025;;222551;253095;272177
2023;118009;128691;129879;139153
2034;;1043253;1411271;1654617
2032;;837605;1129679;1297149
2027;;365428;452825;495320
2022;82107;100410;101272;100438
